titulo,autor,genero,nota,n_aval,leram,lendo,querem_ler,relendo,abandonaram,favoritos,n_resenhas,mais_lidos,mais_lendo,mais_quero_ler,mais_abondonados,mais_desejados,mais_favoritos,literatura,ficção/não_ficção
Harry Potter e a Pedra Filosofal (Harry Potter #1),Joanne Kathleen Rowling,Aventura / Fantasia / Literatura Estrangeira / Ficção / Infantojuvenil ,4.5,262013,695100,17631,150179,2506,4017,51628,13616,2.0,8.0,20.0,27.0,5.0,2.0,literatura estrangeira,ficção
"Vermelho, Branco e Sangue Azul",Casey McQuiston,"Humor, Comédia / LGBT / GLS / Romance ",4.4,85189,130793,20206,113846,814,6048,18516,14295,70.0,5.0,46.0,15.0,80.0,32.0,literatura estrangeira,ficção
Lua Nova (Crepúsculo #2),Stephenie Meyer,Fantasia / Ficção / Literatura Estrangeira / Romance ,3.6,108444,340921,2470,21444,373,3445,10754,2775,14.0,,,40.0,,71.0,literatura estrangeira,ficção
A Última Música,Nicholas Sparks,Drama / Literatura Estrangeira / Romance / Ficção ,4.2,46767,170992,1752,75173,145,1885,8602,1429,49.0,,83.0,105.0,,,literatura estrangeira,ficção
A Prisão do Rei (A Rainha Vermelha #3),Victoria Aveyard,Fantasia / Jovem adulto / Literatura Estrangeira / Ficção ,4.0,35800,68295,4423,62746,88,1793,4045,3454,,93.0,,,,,literatura estrangeira,ficção
A Fúria dos Reis (Crônicas do Gelo e Fogo #2),George R. R. Martin,Fantasia ,4.6,47958,112968,7128,104295,233,1738,10744,1114,85.0,50.0,55.0,,,72.0,literatura estrangeira,ficção
Em Algum Lugar nas Estrelas,Clare Vanderpool,Fantasia / Literatura Estrangeira / Aventura / Drama / Infantojuvenil ,4.3,14533,21882,2024,41218,46,652,3861,1837,,,,,95.0,,literatura estrangeira,ficção
Os Dois Morrem no Final,Adam Silvera,Jovem adulto / LGBT / GLS / Literatura Estrangeira / Romance ,4.4,35371,45776,7805,83781,75,1492,7133,8621,,42.0,72.0,,,,literatura estrangeira,ficção
O Guardião de Memórias,Kim Edwards,Drama / Literatura Estrangeira ,3.6,11849,22033,857,7360,17,2008,1030,511,,,,95.0,,,literatura estrangeira,ficção
Os Miseráveis,Victor Hugo,Ficção / Literatura Estrangeira / Romance ,4.5,27220,53247,7038,61655,207,1116,7570,1740,,52.0,,,41.0,,literatura estrangeira,ficção
Marley &amp; Eu,John Grogan,Animais de Estimação / Drama / Ficção / Literatura Estrangeira / Romance ,4.3,53929,207448,1563,58722,143,3775,10103,1625,39.0,,,32.0,,79.0,literatura estrangeira,ficção
Anjos e Demônios (Robert Langdon #1),Dan Brown,Literatura Estrangeira / Aventura / Suspense e Mistério / História / Ficção / Línguas Estrangeiras / Religião e Espiritualidade / Romance policial ,4.3,70130,230657,2965,76306,141,2981,10396,1592,34.0,,82.0,50.0,,75.0,literatura estrangeira,ficção
O Último Olimpiano (Percy Jackson e os Olimpianos #5),Rick Riordan,Fantasia / Infantojuvenil ,4.6,106397,268125,2535,82548,308,571,22547,5069,30.0,,74.0,,73.0,23.0,literatura estrangeira,ficção
Amanhecer (Crepúsculo #4),Stephenie Meyer,Ficção / Literatura Estrangeira / Romance / Suspense e Mistério ,3.9,96679,321071,2337,30111,514,3705,13422,2050,21.0,,,35.0,,49.0,literatura estrangeira,ficção
Por Lugares Incríveis,Jennifer Niven,Infantojuvenil / Drama / Literatura Estrangeira / Romance ,4.4,47657,84287,6458,132631,230,1811,13973,6517,,59.0,29.0,,38.0,45.0,literatura estrangeira,ficção
O Retrato de Dorian Gray,Oscar Wilde,Ficção / LGBT / GLS / Literatura Estrangeira / Terror ,4.2,39468,77836,5396,47225,193,2301,7646,3503,,74.0,,74.0,98.0,,literatura estrangeira,ficção
O Lado Bom da Vida,Matthew Quick,Ficção / Literatura Estrangeira ,3.9,43735,92896,2279,115614,82,2222,6589,1863,,,44.0,78.0,90.0,,literatura estrangeira,ficção
Amor &amp; Gelato,Jenna Evans Welch,Ficção / Jovem adulto / Literatura Estrangeira / Romance ,4.3,87272,138802,11760,129621,306,2564,12303,15817,65.0,20.0,31.0,64.0,86.0,58.0,literatura estrangeira,ficção
A Casa de Hades (Os Heróis do Olimpo #4),Rick Riordan,Aventura / Fantasia / Infantojuvenil / Literatura Estrangeira ,4.6,40623,85803,2455,32203,128,500,10041,2031,,,,,,80.0,literatura estrangeira,ficção
O Cortiço,Aluísio Azevedo,Literatura Brasileira / Ficção ,3.7,51103,162047,2884,18291,216,4350,3078,1781,53.0,,,24.0,,,literatura brasileira,ficção
Fortaleza Digital,Dan Brown,Aventura / Ficção / Literatura Estrangeira / Romance policial ,3.9,42701,128822,1311,34414,70,2240,3770,1045,72.0,,,77.0,,,literatura estrangeira,ficção
Cidade dos Anjos Caídos (Os Instrumentos Mortais #4),Cassandra Clare,Fantasia / Infantojuvenil / Ficção / Romance / Aventura / LGBT / GLS / Literatura Estrangeira ,4.1,32987,72468,1618,112561,105,595,5750,1387,,,47.0,,71.0,,literatura estrangeira,ficção
Heartstopper #2,Alice Oseman,"Ficção / HQ, comics, mangá / Jovem adulto / LGBT / GLS / Literatura Estrangeira / Romance ",4.7,68375,89994,1011,20800,106,55,9611,9169,,,,,,89.0,literatura estrangeira,ficção
Os 13 Porquês,Jay Asher,Drama / Ficção / Literatura Estrangeira / Suspense e Mistério / Jovem adulto ,3.9,29577,62539,2138,70649,92,1289,5572,1518,,,98.0,,19.0,,literatura estrangeira,ficção
Belo Desastre #1,Jamie Mcguire,Jovem adulto / Literatura Estrangeira / Romance ,3.9,38790,75019,1045,21623,187,1267,10008,1993,,,,,,81.0,literatura estrangeira,ficção
Um Homem de Sorte,Nicholas Sparks,Ficção / Literatura Estrangeira / Romance ,4.1,20426,44714,1099,72084,45,801,3166,708,,,95.0,,,,literatura estrangeira,ficção
O Filho de Netuno (Os Heróis do Olimpo #2),Rick Riordan,Aventura / Jovem adulto ,4.3,55220,119555,2843,68361,178,681,8110,2438,80.0,,103.0,,,,literatura estrangeira,ficção
O Silmarillion,O Silmarillion,Fantasia / Ficção / Literatura Estrangeira ,4.5,19037,32860,3830,33048,270,2583,5694,971,,,,63.0,,,literatura estrangeira,ficção
Convergente (Divergente  #3),Veronica Roth,Literatura Estrangeira / Distopia / Infantojuvenil / Ficção ,3.7,38515,88201,2296,40310,44,2473,5497,1608,,,,69.0,94.0,,literatura estrangeira,ficção
A Maldição do Titã (Percy Jackson &amp; Os Olimpianos #03),Rick Riordan,Fantasia / Literatura Estrangeira ,4.5,122678,306996,3906,75045,405,903,20574,5574,24.0,,84.0,,72.0,26.0,literatura estrangeira,ficção
Lady Killers: Assassinas em Série,Tori Telfer,"Biografia, Autobiografia, Memórias / Literatura Estrangeira / Não-ficção ",4.2,16792,29167,10710,74075,58,1845,1617,2902,,26.0,88.0,,,,literatura estrangeira,não_ficção
A Culpa é das Estrelas,John Michael Green,Literatura Estrangeira / Romance ,4.2,181987,590753,12214,255612,1096,5934,37076,8899,3.0,17.0,3.0,16.0,8.0,11.0,literatura estrangeira,ficção
Admirável mundo novo,Aldous Huxley,Distopia / Ficção científica / Literatura Estrangeira / Romance ,4.3,44202,71244,5168,58159,222,2193,7791,3253,,77.0,,80.0,49.0,,literatura estrangeira,ficção
A Rainha Vermelha #1,Victoria Aveyard,Ficção / Literatura Estrangeira / Fantasia / Jovem adulto / Distopia ,4.2,93235,184701,14499,206393,638,5067,16388,10233,45.0,12.0,5.0,20.0,12.0,38.0,literatura estrangeira,ficção
O Morro dos Ventos Uivantes,Emily Brontë,Ficção / Romance / Literatura Estrangeira ,4.0,68070,153710,10504,114646,537,10718,14174,6635,55.0,28.0,45.0,4.0,35.0,44.0,literatura estrangeira,ficção
Mentirosos,E. Lockhart,Ficção / Infantojuvenil / Jovem adulto / Literatura Estrangeira / Romance / Suspense e Mistério ,3.9,82072,126474,6427,86843,145,2655,9404,14663,73.0,60.0,68.0,59.0,96.0,92.0,literatura estrangeira,ficção
Como Eu Era Antes de Você #1,Jojo Moyes,Literatura Estrangeira / Romance / Ficção / Jovem adulto ,4.4,80286,203046,8148,153706,268,2861,23810,4742,41.0,38.0,19.0,54.0,29.0,22.0,literatura estrangeira,ficção
P.S.: Ainda Amo Você (Para Todos os Garotos que Já Amei #2),Jenny Han,Ficção / Jovem adulto / Literatura Estrangeira / Romance ,4.0,43828,99860,2302,53665,104,1052,5177,2469,106.0,,,,,,literatura estrangeira,ficção
O Conto da Aia,Margaret Atwood,Distopia / Ficção / Literatura Estrangeira ,4.3,38530,62109,7097,72259,83,1992,6986,4849,,51.0,94.0,98.0,77.0,,literatura estrangeira,ficção
A Rainha do Nada (O Povo do Ar #3),Holly Black,Fantasia / Ficção / Jovem adulto / Literatura Estrangeira / Romance ,4.6,64158,84412,2453,33706,100,248,12964,9813,,,,,,53.0,literatura estrangeira,ficção
Garota Exemplar,Gillian Flynn,Suspense e Mistério / Literatura Estrangeira / Romance policial ,4.3,30164,54518,3512,92789,45,2133,6840,2532,,,65.0,84.0,42.0,,literatura estrangeira,ficção
Harry Potter e o Enigma do Príncipe (Harry Potter #6),Joanne Kathleen Rowling,Aventura / Fantasia / Ficção / Infantojuvenil / Jovem adulto / Literatura Estrangeira / Romance ,4.7,152311,451078,4643,196082,682,1133,39354,5391,8.0,86.0,8.0,,34.0,7.0,literatura estrangeira,ficção
Os sete maridos de Evelyn Hugo,Taylor Jenkins Reid,Ficção / LGBT / GLS / Literatura Estrangeira / Romance ,4.7,137619,191132,20260,174403,524,2117,44866,29991,42.0,4.0,15.0,88.0,21.0,4.0,literatura estrangeira,ficção
A Escolha (A Seleção #3),Kiera Cass,Ficção / Literatura Estrangeira / Romance ,4.4,129593,301849,3732,119048,352,876,29329,8115,25.0,,39.0,,26.0,16.0,literatura estrangeira,ficção
Orgulho e preconceito,Jane Austen,Ficção / Literatura Estrangeira / Romance ,4.5,83028,136938,13783,98832,759,6657,27173,7671,66.0,13.0,60.0,10.0,13.0,19.0,literatura estrangeira,ficção
Um Sonho de Primavera (Crônicas do Gelo e Fogo #7),George R. R. Martin,Fantasia / Literatura Estrangeira ,4.4,237,3288,81,77226,6,52,240,4,,,79.0,,,,literatura estrangeira,ficção
O Diário de Anne Frank,Anne Frank,"Literatura Estrangeira / Biografia, Autobiografia, Memórias / Drama / Não-ficção ",4.5,111695,315386,21305,253896,694,8793,19696,8127,22.0,2.0,4.0,6.0,3.0,30.0,literatura estrangeira,não_ficção
Melancia (As Irmãs Walsh #1),Marian Keyes,Literatura Estrangeira / Ficção / Romance ,3.7,23841,63902,1236,11840,65,3402,2516,1141,,,,41.0,,,literatura estrangeira,ficção
A Menina que Roubava Livros,Markus Zusak,Drama / Ficção / Literatura Estrangeira / Romance / História ,4.5,135632,413413,16149,313709,1061,20560,42433,5571,12.0,9.0,1.0,1.0,2.0,5.0,literatura estrangeira,ficção
Sapiens,Yuval Noah Harari,História / Literatura Estrangeira ,4.6,17460,27715,9295,35980,112,1245,3438,1591,,34.0,,,,,literatura estrangeira,não_ficção
A Tormenta de Espadas (Crônicas do Gelo e Fogo #3),George R. R. Martin,Literatura Estrangeira / Fantasia / Ficção ,4.8,38752,83117,4808,117728,122,1104,12690,983,,83.0,41.0,,104.0,55.0,literatura estrangeira,ficção
Paixão (Fallen #3),Lauren Kate,Fantasia / Ficção / Literatura Estrangeira / Romance ,3.8,24921,55344,1054,72521,56,1054,3585,620,,,93.0,,,,literatura estrangeira,ficção
Príncipe Mecânico (As Peças Infernais #2),Cassandra Clare,Fantasia / Infantojuvenil / Literatura Estrangeira / Romance ,4.5,25127,43753,1068,35487,75,250,7002,1884,,,,,93.0,,literatura estrangeira,ficção
O Festim dos Corvos (Crônicas do Gelo e Fogo #4),George R. R. Martin,Fantasia / Literatura Estrangeira ,4.4,30695,60321,3648,124664,81,779,6620,724,,,35.0,,87.0,,literatura estrangeira,ficção
Rainha das Sombras (Trono de Vidro #4),Sarah Janet Maas,Fantasia / Literatura Estrangeira / Romance ,4.7,34601,57211,1752,39006,118,229,9391,4048,,,,,,93.0,literatura estrangeira,ficção
Assassinato No Expresso do Oriente,Agatha Christie,Romance policial / Crime / Suspense e Mistério ,4.3,61316,112581,3102,37937,76,1326,6909,5153,88.0,,,,,,literatura estrangeira,ficção
Memórias Póstumas de Brás Cubas (Obra-Prima de Cada Autor #18),Machado de Assis,Ficção / Literatura Brasileira / Romance ,4.1,57326,151337,4394,29573,303,3963,6847,2588,59.0,95.0,,30.0,,,literatura brasileira,ficção
P.S. Eu Te Amo (P.S. Te Amo #1),Cecelia Ahern,Ficção / Literatura Estrangeira / Romance ,4.2,14908,36960,1468,107603,70,1114,3136,924,,,51.0,,,,literatura estrangeira,ficção
A Droga da Obediência (Os Karas #1),Pedro Bandeira de Luna Filho,Aventura / Ficção / Literatura Brasileira / Romance ,4.0,38046,109418,545,4621,115,402,3204,987,91.0,,,,,,literatura brasileira,ficção
1984,George Orwell,Distopia / Ficção científica ,4.5,80178,152403,20275,162825,430,4572,16980,8274,56.0,3.0,18.0,22.0,7.0,37.0,literatura estrangeira,ficção
A Herdeira (A Seleção #4),Kiera Cass,Ficção / Literatura Estrangeira / Romance / Distopia / Infantojuvenil ,3.4,67071,158837,3751,64966,165,4366,6512,3423,54.0,,,23.0,64.0,,literatura estrangeira,ficção
Bíblia Sagrada,Vários,Religião e Espiritualidade ,4.6,5780,10853,7730,2551,1442,871,3478,487,,44.0,,,,,literatura estrangeira,ficção
O Nome do Vento (A Crônica do Matador do Rei #1),Patrick Rothfuss,Fantasia / Ficção / Literatura Estrangeira ,4.7,20889,31922,3938,40643,223,881,9037,1436,,,,,83.0,99.0,literatura estrangeira,ficção
