titulo,autor,genero,nota,n_aval,leram,lendo,querem_ler,relendo,abandonaram,favoritos,n_resenhas,mais_abondonados
"Comer, Rezar, Amar",Elizabeth Gilbert,"Biografia, Autobiografia, Memórias / Literatura Estrangeira / Romance / Turismo e Viagens ",3.9,17593,33859,1943,11901,87,3948,3040,846,31
Marley &amp; Eu,John Grogan,Animais de Estimação / Drama / Ficção / Literatura Estrangeira / Romance ,4.3,53929,207448,1563,58722,143,3775,10103,1625,32
Corte de Espinhos e Rosas #1,Sarah Janet Maas,Fantasia / Ficção / Literatura Estrangeira / Romance ,4.0,106553,187702,12333,138168,662,3748,13936,13516,33
O Vendedor de Sonhos #1,Augusto Cury,Ficção / Literatura Brasileira / Romance / Psicologia ,3.8,22907,68406,1879,13889,97,3725,2594,729,34
Amanhecer (Crepúsculo #4),Stephenie Meyer,Ficção / Literatura Estrangeira / Romance / Suspense e Mistério ,3.9,96675,321071,2337,30099,514,3705,13422,2050,35
Cidade dos Ossos (Os Instrumentos Mortais #1),Cassandra Clare,Aventura / Fantasia / Ficção / LGBT / GLS / Literatura Estrangeira / Romance / Jovem adulto ,4.1,68444,169717,6358,134695,460,3666,12640,4169,36
O Pequeno Príncipe,Antoine de Saint-Exupéry,Infantil ,4.5,223372,728508,9928,166487,1931,3591,49256,11938,37
O segredo (The Secret),Rhonda Byrne,Autoajuda / Literatura Estrangeira ,3.3,17303,33232,1445,6492,179,3560,1344,784,38
Lolita,Vladimir Nabokov,Literatura Estrangeira ,4.0,17650,33114,3500,33564,135,3502,3250,1447,39
Lua Nova (Crepúsculo #2),Stephenie Meyer,Fantasia / Ficção / Literatura Estrangeira / Romance ,3.6,108438,340834,2470,21443,373,3445,10754,2775,40
Melancia (As Irmãs Walsh #1),Marian Keyes,Literatura Estrangeira / Ficção / Romance ,3.7,23841,63900,1236,11840,65,3402,2516,1141,41
A Sociedade do Anel (O Senhor dos Anéis #1),J. R. R. Tolkien,Aventura / Fantasia / Ficção / Literatura Estrangeira ,4.5,45005,114159,6763,60811,378,3357,11196,2254,42
O Ladrão de Raios (Percy Jackson e os Olimpianos #1),Rick Riordan,Aventura / Fantasia / Ficção / Infantojuvenil / Literatura Estrangeira / Romance ,4.4,171101,447023,12041,119509,1420,3355,28684,10291,43
It: A Coisa,Stephen King,Literatura Estrangeira / Ficção / Terror ,4.5,28199,53429,14869,140465,238,3324,10561,3303,44
Fallen #1,Lauren Kate,Romance / Suspense e Mistério ,3.7,52375,162421,2533,35861,343,3237,7269,1939,45
Teto Para Dois,Beth O'Leary,"Humor, Comédia / Literatura Estrangeira / Romance ",4.3,85407,134147,9478,127805,146,3220,12231,15475,46
Um de Nós Está Mentindo #1,Karen M. McManus,Ficção / Jovem adulto / Literatura Estrangeira / Suspense e Mistério ,3.9,56414,89947,7942,104187,105,3174,3781,9654,47
A Sutil Arte de Ligar o F*da-se,Manson Mark,Literatura Estrangeira / Não-ficção ,3.7,28021,42239,5738,22799,113,3139,1906,2287,48
Anne de Green Gables #1,Lucy Maud Montgomery,Romance / Literatura Estrangeira / Ficção ,4.2,41757,63791,7410,40990,147,3110,5652,6112,49
Anjos e Demônios (Robert Langdon #1),Dan Brown,Literatura Estrangeira / Aventura / Suspense e Mistério / História / Ficção / Línguas Estrangeiras / Religião e Espiritualidade / Romance policial ,4.3,70130,230657,2965,76306,141,2981,10396,1592,50
A Coroa (A Seleção #5),Kiera Cass,Distopia / Ficção / Literatura Estrangeira / Romance / Infantojuvenil ,3.2,50202,124946,2231,62194,79,2936,3299,2964,51
Depois de você (Como eu era antes de você #2),Jojo Moyes,Literatura Estrangeira / Romance / Ficção ,3.8,32968,79699,4625,77678,88,2893,4184,1896,52
Eclipse  (Crepúsculo #3),Stephenie Meyer,Fantasia / Literatura Estrangeira / Autoajuda / Chick-lit / Ficção / Romance ,3.8,102382,328721,2025,23076,405,2867,11705,2086,53
Como Eu Era Antes de Você #1,Jojo Moyes,Literatura Estrangeira / Romance / Ficção / Jovem adulto ,4.4,80277,203001,8145,153688,269,2861,23810,4742,54
O Orfanato da Srta. Peregrine Para Crianças Peculiares #1,Ransom Riggs,Aventura / Fantasia / Ficção / Literatura Estrangeira ,4.0,43029,89978,4562,57057,156,2772,5763,2306,55
As Vantagens de Ser Invisível,Stephen Chbosky,Literatura Estrangeira / Ficção / Jovem adulto ,4.4,89473,189858,7593,190332,473,2745,26499,7899,56
Querido John,Nicholas Sparks,Drama / Literatura Estrangeira / Romance / Ficção ,4.0,59361,228057,2300,89929,167,2736,9074,2088,57
O Guia do Mochileiro das Galáxias #1,Douglas Adams,Ficção científica / Fantasia / Literatura Estrangeira ,4.3,53510,117580,4556,44027,353,2686,9702,2167,58
Mentirosos,E. Lockhart,Ficção / Infantojuvenil / Jovem adulto / Literatura Estrangeira / Romance / Suspense e Mistério ,3.9,82054,126433,6427,86819,145,2655,9404,14660,59
Harry Potter e o Cálice de Fogo (Harry Potter #4),Joanne Kathleen Rowling,Aventura / Fantasia / Ficção / Infantojuvenil / Jovem adulto / Literatura Estrangeira / Romance ,4.6,170191,499034,11992,180471,1005,2610,39337,6496,60
1808,Laurentino Gomes,História / História do Brasil / História Geral ,4.1,18253,35688,3176,69358,83,2607,1554,869,61
Iracema,José Martiniano de Alencar,Literatura Brasileira / Romance ,3.1,30371,120557,792,8293,65,2604,655,1020,62
O Silmarillion,O Silmarillion,Fantasia / Ficção / Literatura Estrangeira ,4.5,19036,32856,3829,33048,270,2583,5694,971,63
Amor &amp; Gelato,Jenna Evans Welch,Ficção / Jovem adulto / Literatura Estrangeira / Romance ,4.3,87234,138745,11755,129574,306,2564,12301,15814,64
A Garota do Lago,Charlie Donlea,Ficção / Suspense e Mistério ,3.9,51183,62710,5519,27023,53,2559,3007,9226,65
Crime e Castigo (A Obra-prima de cada autor,Fiódor Dostoiévski,Literatura Estrangeira / Ficção / Romance ,4.6,24067,42897,6672,56128,222,2551,6186,1572,66
A Revolução dos Bichos,George Orwell,Ficção / Distopia / Literatura Estrangeira ,4.4,126838,281681,11031,130402,341,2542,17272,12865,67
O Hobbit,J.R.R. Tolkien,Fantasia / Ficção ,4.5,67515,151611,7543,93148,512,2511,17635,3284,68
Convergente (Divergente  #3),Veronica Roth,Literatura Estrangeira / Distopia / Infantojuvenil / Ficção ,3.7,38509,88188,2297,40309,44,2473,5497,1607,69
A Seleção #1,Kiera Cass,Jovem adulto / Romance / Ficção ,4.3,164362,388503,9925,164521,1079,2452,33785,12315,70
Cem anos de solidão,Gabriel García Márquez,Ficção / Literatura Estrangeira / Romance ,4.6,30053,54470,4669,53265,302,2368,10889,2062,71
Mulheres que Correm com os Lobos,Clarissa Pinkola Estés,Literatura Estrangeira / Psicologia / Não-ficção ,4.3,5674,11730,12555,53689,210,2341,1819,786,72
Harry Potter e a Câmara Secreta (Harry Potter #2),Joanne Kathleen Rowling,Aventura / Fantasia / Ficção / Literatura Estrangeira / Infantojuvenil ,4.4,213726,589354,10916,120072,1146,2322,37951,8581,73
O Retrato de Dorian Gray,Oscar Wilde,Ficção / LGBT / GLS / Literatura Estrangeira / Terror ,4.2,39463,77827,5399,47221,193,2297,7646,3501,74
O Homem de Giz,C.J. Tudor,Ficção / Literatura Estrangeira / Suspense e Mistério ,3.7,42156,66089,5025,64066,86,2266,2474,5677,75
O Príncipe Cruel (O Povo do Ar #1),Holly Black,Fantasia / Ficção / Jovem adulto / Literatura Estrangeira ,4.4,98256,149914,13465,124279,503,2260,17513,15775,76
Fortaleza Digital,Dan Brown,Aventura / Ficção / Literatura Estrangeira / Romance policial ,3.9,42701,128821,1311,34414,70,2240,3770,1045,77
O Lado Bom da Vida,Matthew Quick,Ficção / Literatura Estrangeira ,3.9,43734,92896,2279,115611,82,2222,6589,1863,78
O Menino do Pijama Listrado,John Boyne,Literatura Estrangeira / Romance / Drama / Ficção ,4.4,81341,330978,6660,302075,239,2206,13353,4178,79
Admirável mundo novo,Aldous Huxley,Distopia / Ficção científica / Literatura Estrangeira / Romance ,4.3,44192,71213,5170,58150,222,2190,7792,3252,80
Senhora,José Martiniano de Alencar,Romance / Literatura Brasileira / Ficção ,3.8,27616,65658,1287,10171,94,2184,2836,1062,81
Harry Potter e a Ordem da Fênix (Harry Potter #5),Joanne Kathleen Rowling,Aventura / Fantasia / Ficção / Infantojuvenil / Jovem adulto / Línguas Estrangeiras / Literatura Estrangeira / Romance ,4.6,154909,459478,9794,192196,889,2176,37154,5675,82
O Símbolo Perdido (Robert Langdon #3),Dan Brown,Aventura / Crime / Ficção / Literatura Estrangeira / Romance policial / Suspense e Mistério ,4.1,45993,142605,3166,71256,124,2173,6146,1379,83
Garota Exemplar,Gillian Flynn,Suspense e Mistério / Literatura Estrangeira / Romance policial ,4.3,30160,54512,3512,92777,45,2133,6840,2530,84
A Divina Comédia (Obras Primas),Dante Alighieri,"Literatura Estrangeira / Poemas, poesias ",4.2,8708,17640,2795,24731,123,2119,1456,370,85
Ensaio Sobre a Cegueira,José Saramago,Ficção / Literatura Estrangeira / Romance ,4.6,31944,68664,3673,54796,124,2116,8241,2268,86
Memórias de um Sargento de Milícias (Bom Livro),Manuel Antônio de Almeida,Romance / Literatura Brasileira / Ficção ,3.4,26567,100472,887,8446,60,2114,889,687,87
Os sete maridos de Evelyn Hugo,Taylor Jenkins Reid,Ficção / LGBT / GLS / Literatura Estrangeira / Romance ,4.7,137569,191057,20236,174318,523,2114,44858,29984,88
O Monge e O Executivo,James C. Hunter,Administração / Autoajuda / Ficção / Literatura Estrangeira / Negócios e Empreendedorismo ,3.8,30239,105310,1847,9237,189,2112,2236,1084,89
Capitães da Areia,Jorge Amado,Ficção / Literatura Brasileira / Romance ,4.3,54054,146237,2887,23707,208,2109,10790,2861,90
A arte da guerra (L&amp;PM Pocket),Sun Tzu,Filosofia / Literatura Estrangeira / Não-ficção / História ,3.8,29592,52480,2806,17602,226,2095,1993,1413,91
O Príncipe (Classicos de Ouro),Nicolau Maquiavel,Política / Não-ficção / Filosofia / Literatura Estrangeira ,3.9,20944,41639,2757,16356,170,2086,1520,957,92
A Vida Invisível de Addie LaRue,V.E. Schwab,Fantasia / Ficção / Literatura Estrangeira ,4.4,27300,33732,10536,79239,74,2067,7817,6726,93
Extraordinário,R. J. Palacio,Ficção / Infantojuvenil / Literatura Estrangeira ,4.5,92980,208344,5868,84584,270,2022,25855,5782,94
O Guardião de Memórias,Kim Edwards,Drama / Literatura Estrangeira ,3.6,11849,22033,857,7360,17,2008,1030,511,95
Madame Bovary (A Obra-prima de cada autor,Gustave Flaubert,Ficção / Literatura Estrangeira / Romance ,3.9,13090,25528,2363,21086,81,2005,1538,775,96
O Poder do Hábito,Charles Duhigg,Não-ficção ,4.2,17573,30909,7833,36559,111,2003,1830,1468,97
O Conto da Aia,Margaret Atwood,Distopia / Ficção / Literatura Estrangeira ,4.3,38525,62109,7100,72257,83,1992,6984,4848,98
Água para Elefantes,Sara Gruen,Ficção / Literatura Estrangeira / Romance ,4.0,22181,40188,1222,54893,55,1964,3232,987,99
Estilhaça-me #1,Tahereh Mafi,Distopia / Ficção / Literatura Estrangeira / Romance / Suspense e Mistério ,4.0,61075,95433,6327,77029,252,1956,5898,8272,100
Triste fim de Policarpo Quaresma,Lima Barreto,Ficção / Literatura Brasileira / Romance ,3.6,17123,33344,1335,10227,53,1937,909,988,101
Tormenta (Fallen #2),Lauren Kate,Fantasia / Ficção / Literatura Estrangeira / Romance ,3.8,31542,69187,1728,72848,94,1935,4403,808,102
Ponto de Impacto,Dan Brown,Ficção / Literatura Estrangeira / Suspense e Mistério / Ficção científica ,4.0,33777,100501,1321,35811,37,1928,3447,871,103
Vidas Secas,Graciliano Ramos,Romance ,4.0,45598,107238,1629,14893,150,1890,4293,1848,104
A Última Música,Nicholas Sparks,Drama / Literatura Estrangeira / Romance / Ficção ,4.2,46766,170992,1752,75173,145,1885,8602,1429,105
Drácula,Bram Stoker,Ficção / Horror / Literatura Estrangeira / Suspense e Mistério / Terror ,4.2,29684,50634,5232,39028,152,1874,5250,2739,106
