titulo,autor,genero,nota,n_aval,leram,lendo,querem_ler,relendo,abandonaram,favoritos,n_resenhas,mais_quero_ler
Harry Potter e o Prisioneiro de Azkaban (Harry Potter #3),Joanne Kathleen Rowling,Aventura / Fantasia / Literatura Estrangeira / Ficção / Infantojuvenil ,4.7,193145,543171,8820,144888,933,1761,51838,8171,22
A Esperança (Jogos Vorazes #3),Suzanne Collins,Aventura ,4.4,96468,244917,3976,143300,267,1425,21867,4722,23
O Teorema Katherine,John Michael Green,Ficção ,3.4,51723,123212,4571,142499,101,8573,5135,2092,24
It: A Coisa,Stephen King,Literatura Estrangeira / Ficção / Terror ,4.5,28198,53429,14868,140464,238,3324,10561,3303,25
Corte de Espinhos e Rosas #1,Sarah Janet Maas,Fantasia / Ficção / Literatura Estrangeira / Romance ,4.0,106551,187698,12334,138155,662,3748,13936,13516,26
Em Chamas (Jogos Vorazes #2),Suzanne Collins,Distopia ,4.6,106221,269883,4170,134861,309,1062,29743,4898,27
Cidade dos Ossos (Os Instrumentos Mortais #1),Cassandra Clare,Aventura / Fantasia / Ficção / LGBT / GLS / Literatura Estrangeira / Romance / Jovem adulto ,4.1,68444,169698,6358,134695,460,3666,12640,4169,28
Por Lugares Incríveis,Jennifer Niven,Infantojuvenil / Drama / Literatura Estrangeira / Romance ,4.4,47652,84272,6448,132578,230,1804,13969,6517,29
A Revolução dos Bichos,George Orwell,Ficção / Distopia / Literatura Estrangeira ,4.4,126835,281681,11031,130402,341,2542,17272,12865,30
Amor &amp; Gelato,Jenna Evans Welch,Ficção / Jovem adulto / Literatura Estrangeira / Romance ,4.3,87232,138732,11753,129574,306,2564,12301,15814,31
O Sol é Para Todos,Harper Lee,Ficção / Literatura Estrangeira ,4.6,28023,49002,3990,128611,75,771,8820,3253,32
Teto Para Dois,Beth O'Leary,"Humor, Comédia / Literatura Estrangeira / Romance ",4.3,85407,134130,9478,127805,146,3220,12231,15475,33
A Dança dos Dragões (Crônicas do Gelo e Fogo #5),George R. R. Martin,Fantasia / Literatura Estrangeira ,4.7,25535,50173,3859,125220,93,697,7243,599,34
O Festim dos Corvos (Crônicas do Gelo e Fogo #4),George R. R. Martin,Fantasia / Literatura Estrangeira ,4.4,30695,60321,3648,124662,81,779,6620,724,35
O Príncipe Cruel (O Povo do Ar #1),Holly Black,Fantasia / Ficção / Jovem adulto / Literatura Estrangeira ,4.4,98252,149914,13466,124279,503,2260,17513,15775,36
Harry Potter e a Câmara Secreta (Harry Potter #2),Joanne Kathleen Rowling,Aventura / Fantasia / Ficção / Literatura Estrangeira / Infantojuvenil ,4.4,213722,589354,10916,120072,1146,2322,37951,8581,37
O Ladrão de Raios (Percy Jackson e os Olimpianos #1),Rick Riordan,Aventura / Fantasia / Ficção / Infantojuvenil / Literatura Estrangeira / Romance ,4.4,171098,447023,12041,119510,1419,3355,28684,10290,38
A Escolha (A Seleção #3),Kiera Cass,Ficção / Literatura Estrangeira / Romance ,4.4,129566,301705,3726,119021,354,874,29325,8112,39
A Guerra dos Tronos (Crônicas do Gelo e Fogo #1),George R. R. Martin,Fantasia / Aventura / Ficção / Jovem adulto / Literatura Estrangeira ,4.7,72360,171578,18519,118298,701,6233,19789,2574,40
A Tormenta de Espadas (Crônicas do Gelo e Fogo #3),George R. R. Martin,Literatura Estrangeira / Fantasia / Ficção ,4.8,38750,83117,4808,117728,122,1104,12690,983,41
Todas as Suas (Im)Perfeições,Colleen Hoover,Ficção / Jovem adulto / Literatura Estrangeira / Romance ,4.3,79523,118109,10097,117494,191,1655,12561,14378,42
O Lado Feio do Amor,Colleen Hoover,Ficção / Jovem adulto / Literatura Estrangeira / Romance ,4.1,70734,112781,5957,117008,170,1047,9922,11017,43
O Lado Bom da Vida,Matthew Quick,Ficção / Literatura Estrangeira ,3.9,43734,92896,2279,115611,82,2222,6589,1863,44
O Morro dos Ventos Uivantes,Emily Brontë,Ficção / Romance / Literatura Estrangeira ,4.0,68066,153700,10498,114633,537,10717,14174,6635,45
"Vermelho, Branco e Sangue Azul",Casey McQuiston,"Humor, Comédia / LGBT / GLS / Romance ",4.4,85157,130753,20201,113812,814,6048,18512,14292,46
Cidade dos Anjos Caídos (Os Instrumentos Mortais #4),Cassandra Clare,Fantasia / Infantojuvenil / Ficção / Romance / Aventura / LGBT / GLS / Literatura Estrangeira ,4.1,32981,72421,1618,112561,105,595,5750,1385,47
A Elite (A Seleção #2),Kiera Cass,Ficção / Infantojuvenil / Literatura Estrangeira / Romance ,4.0,138237,323593,5756,112441,416,1615,20413,7835,48
Cidade de Vidro (Os Instrumentos Mortais #3),Cassandra Clare,Fantasia / Ficção / Jovem adulto / Literatura Estrangeira ,4.4,42908,90251,1785,111529,119,685,10795,2018,49
Cidade das Cinzas (Os Instrumentos Mortais #2),Cassandra Clare,Romance / Aventura / Ficção / Infantojuvenil / LGBT / GLS / Literatura Estrangeira ,4.1,49051,101147,2663,107779,162,1207,8021,2296,50
P.S. Eu Te Amo (P.S. Te Amo #1),Cecelia Ahern,Ficção / Literatura Estrangeira / Romance ,4.2,14908,36960,1468,107603,70,1114,3136,924,51
Morte Súbita,Joanne Kathleen Rowling,Literatura Estrangeira / Ficção ,3.8,19299,36812,3864,107056,40,6453,2970,1154,52
"Novembro, 9",Colleen Hoover,Literatura Estrangeira / Romance ,4.1,58798,91678,5800,106927,100,1096,7465,10161,53
O Código Da Vinci (Robert Langdon #2),Dan Brown,Ficção / Literatura Estrangeira / Suspense e Mistério ,4.2,90194,312541,4478,104669,208,5379,10754,2115,54
A Fúria dos Reis (Crônicas do Gelo e Fogo #2),George R. R. Martin,Fantasia ,4.6,47958,112968,7128,104292,233,1737,10744,1114,55
Um de Nós Está Mentindo #1,Karen M. McManus,Ficção / Jovem adulto / Literatura Estrangeira / Suspense e Mistério ,3.9,56411,89947,7942,104187,105,3174,3781,9654,56
Os Ventos do Inverno (Crônicas do Gelo e Fogo #6),George R. R. Martin,Fantasia / Literatura Estrangeira ,4.5,518,5729,230,102244,8,84,378,16,57
Trono de Vidro #1,Sarah J. Maas,Fantasia / Ficção / Jovem adulto / Literatura Estrangeira ,4.3,63154,105836,6288,101383,392,1298,10833,7300,58
A Cabana,William P. Young,Ficção / Literatura Estrangeira / Drama ,3.9,92078,333003,6183,101249,436,16231,12765,3737,59
Orgulho e preconceito,Jane Austen,Ficção / Literatura Estrangeira / Romance ,4.5,83013,136923,13785,98811,759,6657,27173,7669,60
Para Todos os Garotos que Já Amei #1,Jenny Han,Ficção / Literatura Estrangeira / Romance ,4.2,57681,142549,4043,98576,246,1360,9360,3768,61
A Menina Que Não Sabia Ler #1,John Harding,Ficção / Literatura Estrangeira / Romance ,3.6,21330,39614,1555,97813,60,1612,2323,1332,62
Laranja Mecânica,Anthony Burgess,Distopia / Ficção / Literatura Estrangeira ,4.4,24580,42595,2493,96765,96,1617,6393,1784,63
O Hobbit,J.R.R. Tolkien,Fantasia / Ficção ,4.5,67515,151611,7543,93148,512,2511,17635,3284,64
Garota Exemplar,Gillian Flynn,Suspense e Mistério / Literatura Estrangeira / Romance policial ,4.3,30160,54512,3512,92777,45,2133,6840,2530,65
Querido John,Nicholas Sparks,Drama / Literatura Estrangeira / Romance / Ficção ,4.0,59361,228057,2300,89929,167,2736,9074,2088,66
O Mundo de Sofia,Jostein Gaarder,Filosofia / Literatura Estrangeira / Romance / Ficção ,4.2,43213,129742,11384,87425,755,13052,9459,1960,67
Mentirosos,E. Lockhart,Ficção / Infantojuvenil / Jovem adulto / Literatura Estrangeira / Romance / Suspense e Mistério ,3.9,82053,126433,6427,86819,145,2655,9404,14660,68
Mil Beijos de Garoto,Tillie Cole,Ficção / Jovem adulto / Literatura Estrangeira / Romance ,3.9,55908,87484,10857,86416,180,6550,9698,11682,69
Corte de Névoa e Fúria (Corte de Espinhos e Rosas #2),Sarah Janet Maas,Fantasia / Ficção / Jovem adulto / Literatura Estrangeira / Romance ,4.6,89410,152210,7396,85902,583,1423,28761,11041,70
Extraordinário,R. J. Palacio,Ficção / Infantojuvenil / Literatura Estrangeira ,4.5,92979,208344,5868,84584,270,2022,25855,5782,71
Os Dois Morrem no Final,Adam Silvera,Jovem adulto / LGBT / GLS / Literatura Estrangeira / Romance ,4.4,35344,45742,7803,83712,74,1485,7131,8614,72
Espada de Vidro (A Rainha Vermelha #2),Victoria Aveyard,Fantasia / Ficção / Jovem adulto / Literatura Estrangeira ,3.8,48309,94461,8474,83348,171,3990,4243,4858,73
O Último Olimpiano (Percy Jackson e os Olimpianos #5),Rick Riordan,Fantasia / Infantojuvenil ,4.6,106379,268092,2538,82538,308,571,22543,5068,74
Coraline,Neil Gaiman,Fantasia / Ficção / Infantojuvenil / Literatura Estrangeira / Suspense e Mistério / Terror / Aventura / Horror ,4.4,54600,88217,4284,79969,236,619,9116,7066,75
A Vida Invisível de Addie LaRue,V.E. Schwab,Fantasia / Ficção / Literatura Estrangeira ,4.4,27299,33733,10536,79239,74,2067,7816,6726,76
O Caçador de Pipas,Khaled Hosseini,Drama / Literatura Estrangeira / Romance / Ficção ,4.4,68890,225989,2519,78181,185,4313,13020,2139,77
Depois de você (Como eu era antes de você #2),Jojo Moyes,Literatura Estrangeira / Romance / Ficção ,3.8,32968,79699,4625,77678,88,2893,4184,1896,78
Um Sonho de Primavera (Crônicas do Gelo e Fogo #7),George R. R. Martin,Fantasia / Literatura Estrangeira ,4.4,237,3288,81,77226,6,52,240,4,79
Estilhaça-me #1,Tahereh Mafi,Distopia / Ficção / Literatura Estrangeira / Romance / Suspense e Mistério ,4.0,61073,95433,6327,77026,252,1956,5898,8271,80
Precisamos Falar Sobre o Kevin,Lionel Shriver,Crime / Ficção / Literatura Estrangeira / Romance / Drama ,4.5,12208,20932,2482,76776,30,1542,4081,1351,81
Anjos e Demônios (Robert Langdon #1),Dan Brown,Literatura Estrangeira / Aventura / Suspense e Mistério / História / Ficção / Línguas Estrangeiras / Religião e Espiritualidade / Romance policial ,4.3,70130,230657,2965,76306,141,2981,10396,1592,82
A Última Música,Nicholas Sparks,Drama / Literatura Estrangeira / Romance / Ficção ,4.2,46766,170992,1752,75173,145,1885,8602,1429,83
A Maldição do Titã (Percy Jackson &amp; Os Olimpianos #03),Rick Riordan,Fantasia / Literatura Estrangeira ,4.5,122657,306963,3908,75034,405,903,20572,5574,84
Êxtase (Fallen #4),Lauren Kate,Fantasia / Ficção / Literatura Estrangeira / Romance ,4.0,17742,41414,898,75015,44,818,3309,543,85
A Biblioteca da Meia-Noite,Matt Haig,Ficção / Literatura Estrangeira / Romance ,4.3,31357,38490,7768,74303,39,901,5444,7905,86
Corte de Asas e Ruína (Corte de Espinhos e Rosas #3),Sarah Janet Maas,Fantasia / Ficção / Literatura Estrangeira / Romance / Jovem adulto ,4.5,72772,125175,8298,74080,300,1634,15058,8330,87
Lady Killers: Assassinas em Série,Tori Telfer,"Biografia, Autobiografia, Memórias / Literatura Estrangeira / Não-ficção ",4.2,16789,29151,10703,74040,58,1845,1616,2902,88
Daisy Jones &amp; The Six,Taylor Jenkins Reid,Romance / Ficção / Literatura Estrangeira / Música / Drama ,4.4,56801,68788,7148,73968,167,1279,14488,13160,89
A Batalha do Labirinto (Percy Jackson &amp; Os Olimpianos #4),Rick Riordan,Fantasia / Infantojuvenil / Literatura Estrangeira ,4.5,114482,286245,3344,73311,350,652,19513,4934,90
Tormenta (Fallen #2),Lauren Kate,Fantasia / Ficção / Literatura Estrangeira / Romance ,3.8,31542,69187,1728,72848,94,1935,4403,808,91
A Marca de Atena (Os Heróis do Olimpo #3),Rick Riordan,Ficção científica / Infantojuvenil / Literatura Estrangeira / Suspense e Mistério ,4.5,46450,102003,3270,72725,167,756,9674,2218,92
Paixão (Fallen #3),Lauren Kate,Fantasia / Ficção / Literatura Estrangeira / Romance ,3.8,24918,55344,1054,72521,56,1054,3585,620,93
O Conto da Aia,Margaret Atwood,Distopia / Ficção / Literatura Estrangeira ,4.3,38524,62109,7100,72257,83,1992,6984,4848,94
Um Homem de Sorte,Nicholas Sparks,Ficção / Literatura Estrangeira / Romance ,4.1,20427,44714,1099,72084,45,801,3166,708,95
Perdida #1,Carina Rissi,Ficção / Literatura Brasileira / Romance ,4.5,43975,81658,2253,71641,248,977,15038,3550,96
O Símbolo Perdido (Robert Langdon #3),Dan Brown,Aventura / Crime / Ficção / Literatura Estrangeira / Romance policial / Suspense e Mistério ,4.1,45993,142605,3166,71256,124,2173,6146,1379,97
Os 13 Porquês,Jay Asher,Drama / Ficção / Literatura Estrangeira / Suspense e Mistério / Jovem adulto ,3.9,29577,62539,2138,70649,92,1289,5572,1518,98
Verity,Colleen Hoover,Ficção / Literatura Estrangeira / Romance / Suspense e Mistério ,4.5,80336,105948,5055,70073,89,392,11861,17691,99
1808,Laurentino Gomes,História / História do Brasil / História Geral ,4.1,18253,35688,3176,69358,83,2607,1554,869,100
Aristóteles e Dante descobrem os segredos do Universo (Aristóteles e Dante #1),Benjamin Alire Sáenz,Ficção / Jovem adulto / LGBT / GLS / Literatura Estrangeira / Romance ,4.3,48071,71607,3491,69047,216,1022,11649,7591,101
A Sombra do Vento (O Cemitério dos Livros Esquecidos #01),Carlos Ruiz Zafón ,Literatura Estrangeira / Romance / Suspense e Mistério / Aventura / Fantasia / Ficção / Infantojuvenil ,4.6,24542,41925,2201,68802,161,1211,9009,1828,102
O Filho de Netuno (Os Heróis do Olimpo #2),Rick Riordan,Aventura / Jovem adulto ,4.3,55212,119555,2842,68358,178,681,8110,2436,103
The Kiss of Deception (Crônicas de Amor e Ódio #1),Mary E. Pearson,Fantasia / Jovem adulto / Literatura Estrangeira / Ficção / Romance ,4.2,24777,38091,3678,66563,90,1739,5111,2650,104
As Duas Torres (O Senhor dos Anéis #2),J. R. R. Tolkien,Aventura / Drama / Fantasia / Ficção / Literatura Estrangeira / Suspense e Mistério ,4.6,34226,82923,2486,65908,151,1114,8668,1256,105
O Retorno do Rei (O Senhor dos Anéis #3),J. R. R. Tolkien,Fantasia / Ficção / Literatura Estrangeira ,4.7,30333,74753,1282,65915,134,730,8670,1034,106
