titulo,autor,genero,nota,n_aval,leram,lendo,querem_ler,relendo,abandonaram,favoritos,n_resenhas,mais_desejados
Divergente (Divergente  #1),Veronica Roth,Literatura Estrangeira / Ficção / Distopia / Infantojuvenil / Jovem adulto ,4.3,65406,141839,3225,55355,224,1486,13805,2861,45
Teto Para Dois,Beth O'Leary,"Humor, Comédia / Literatura Estrangeira / Romance ",4.3,85409,134147,9478,127805,146,3220,12231,15475,46
Extraordinário,R. J. Palacio,Ficção / Infantojuvenil / Literatura Estrangeira ,4.5,92980,208344,5868,84584,270,2022,25855,5782,47
A Guerra dos Tronos (Crônicas do Gelo e Fogo #1),George R. R. Martin,Fantasia / Aventura / Ficção / Jovem adulto / Literatura Estrangeira ,4.7,72360,171578,18519,118302,701,6233,19789,2574,48
Admirável mundo novo,Aldous Huxley,Distopia / Ficção científica / Literatura Estrangeira / Romance ,4.3,44194,71213,5170,58150,222,2190,7792,3252,49
Perdida #1,Carina Rissi,Ficção / Literatura Brasileira / Romance ,4.5,43976,81658,2253,71641,248,977,15038,3550,50
O Príncipe Cruel (O Povo do Ar #1),Holly Black,Fantasia / Ficção / Jovem adulto / Literatura Estrangeira ,4.4,98260,149914,13465,124279,503,2260,17513,15775,51
Corte de Névoa e Fúria (Corte de Espinhos e Rosas #2),Sarah Janet Maas,Fantasia / Ficção / Jovem adulto / Literatura Estrangeira / Romance ,4.6,89414,152210,7396,85902,583,1423,28761,11041,52
O Iluminado,Stephen  King,Ficção / Horror / Literatura Estrangeira / Suspense e Mistério ,4.4,35938,58993,4876,56526,136,1548,7857,3350,53
Os Ventos do Inverno (Crônicas do Gelo e Fogo #6),George R. R. Martin,Fantasia / Literatura Estrangeira ,4.5,518,5729,230,102244,8,84,378,16,54
Fahrenheit 451,Ray Bradbury,Distopia / Ficção científica / Literatura Estrangeira ,4.1,41645,66929,4047,64712,68,1149,6035,5252,55
O Lado Feio do Amor,Colleen Hoover,Ficção / Jovem adulto / Literatura Estrangeira / Romance ,4.1,70736,112781,5956,117010,170,1047,9922,11018,56
Cidades de Papel,John Michael Green,Literatura Estrangeira ,3.6,72383,183429,5199,145506,215,4918,8797,2974,57
Ensaio Sobre a Cegueira,José Saramago,Ficção / Literatura Estrangeira / Romance ,4.6,31944,68664,3673,54796,124,2116,8241,2268,58
Anjo Mecânico (As Peças Infernais #1),Cassandra Clare,Fantasia / Infantojuvenil / Literatura Estrangeira / Ficção / Romance ,4.4,31046,53621,1977,45846,138,630,7634,2530,59
O Teorema Katherine,John Michael Green,Ficção ,3.4,51723,123212,4571,142499,101,8573,5135,2092,60
Cem anos de solidão,Gabriel García Márquez,Ficção / Literatura Estrangeira / Romance ,4.6,30053,54470,4669,53265,302,2368,10889,2062,61
The Kiss of Deception (Crônicas de Amor e Ódio #1),Mary E. Pearson,Fantasia / Jovem adulto / Literatura Estrangeira / Ficção / Romance ,4.2,24777,38091,3678,66563,90,1739,5111,2650,62
Estilhaça-me #1,Tahereh Mafi,Distopia / Ficção / Literatura Estrangeira / Romance / Suspense e Mistério ,4.0,61075,95433,6327,77028,252,1956,5898,8272,63
A Herdeira (A Seleção #4),Kiera Cass,Ficção / Literatura Estrangeira / Romance / Distopia / Infantojuvenil ,3.4,67059,158757,3749,64945,165,4366,6512,3421,64
Sob a redoma,Stephen King,Ficção / Literatura Estrangeira / Suspense e Mistério ,4.4,9420,15438,2424,44732,20,950,2546,949,65
"Os Contos de Beedle, O Bardo (Harry Potter)",Joanne Kathleen Rowling,Contos / Fantasia / Ficção / Infantojuvenil / Literatura Estrangeira ,4.2,50777,132965,1063,54211,81,387,6995,1874,66
Todas as Suas (Im)Perfeições,Colleen Hoover,Ficção / Jovem adulto / Literatura Estrangeira / Romance ,4.3,79524,118132,10098,117494,191,1655,12562,14378,67
A Batalha do Labirinto (Percy Jackson &amp; Os Olimpianos #4),Rick Riordan,Fantasia / Infantojuvenil / Literatura Estrangeira ,4.5,114483,286245,3344,73311,350,652,19513,4934,68
Cidade de Vidro (Os Instrumentos Mortais #3),Cassandra Clare,Fantasia / Ficção / Jovem adulto / Literatura Estrangeira ,4.4,42908,90251,1785,111529,119,685,10795,2019,69
A Sociedade do Anel (O Senhor dos Anéis #1),J. R. R. Tolkien,Aventura / Fantasia / Ficção / Literatura Estrangeira ,4.5,45005,114159,6763,60814,378,3357,11196,2254,70
Cidade dos Anjos Caídos (Os Instrumentos Mortais #4),Cassandra Clare,Fantasia / Infantojuvenil / Ficção / Romance / Aventura / LGBT / GLS / Literatura Estrangeira ,4.1,32981,72421,1618,112561,105,595,5750,1385,71
A Maldição do Titã (Percy Jackson &amp; Os Olimpianos #03),Rick Riordan,Fantasia / Literatura Estrangeira ,4.5,122659,306963,3908,75034,405,903,20572,5574,72
O Último Olimpiano (Percy Jackson e os Olimpianos #5),Rick Riordan,Fantasia / Infantojuvenil ,4.6,106379,268092,2538,82540,308,571,22543,5068,73
Cidade das Cinzas (Os Instrumentos Mortais #2),Cassandra Clare,Romance / Aventura / Ficção / Infantojuvenil / LGBT / GLS / Literatura Estrangeira ,4.1,49050,101147,2663,107779,162,1207,8021,2296,74
Para Todos os Garotos que Já Amei #1,Jenny Han,Ficção / Literatura Estrangeira / Romance ,4.2,57681,142549,4043,98576,246,1360,9360,3768,75
A Lista do Ódio,Jennifer Brown,Drama / Ficção / Jovem adulto / Literatura Estrangeira / Romance ,4.1,14669,24483,1103,48895,14,717,3226,1019,76
O Conto da Aia,Margaret Atwood,Distopia / Ficção / Literatura Estrangeira ,4.3,38525,62109,7100,72257,83,1992,6984,4848,77
"Novembro, 9",Colleen Hoover,Literatura Estrangeira / Romance ,4.1,58801,91678,5800,106928,100,1096,7465,10161,78
O Mar de Monstros (Percy Jackson e os Olimpianos #2),Rick Riordan,Fantasia / Literatura Estrangeira / Aventura / Infantojuvenil ,4.2,136291,338904,4997,51787,504,1369,15454,6383,79
"Vermelho, Branco e Sangue Azul",Casey McQuiston,"Humor, Comédia / LGBT / GLS / Romance ",4.4,85163,130753,20201,113812,813,6048,18512,14292,80
O apanhador no campo de centeio,O apanhador no campo de centeio,Literatura Estrangeira / Ficção / Romance ,4.0,24039,43518,1831,34170,142,1087,4752,1778,81
O conde de Monte Cristo,Alexandre Dumas,Ficção / Literatura Estrangeira / Romance ,4.5,12584,22842,2914,31105,89,494,3644,1128,82
O Nome do Vento (A Crônica do Matador do Rei #1),Patrick Rothfuss,Fantasia / Ficção / Literatura Estrangeira ,4.7,20889,31922,3938,40643,223,881,9037,1436,83
Insurgente (Divergente  #2),Veronica Roth,Literatura Estrangeira / Ficção / Infantojuvenil / Distopia ,4.1,47890,105208,2489,37480,94,1525,7522,1532,84
O Orfanato da Srta. Peregrine Para Crianças Peculiares #1,Ransom Riggs,Aventura / Fantasia / Ficção / Literatura Estrangeira ,4.0,43029,89978,4562,57057,156,2772,5763,2306,85
Amor &amp; Gelato,Jenna Evans Welch,Ficção / Jovem adulto / Literatura Estrangeira / Romance ,4.3,87234,138745,11755,129574,306,2564,12301,15814,86
O Festim dos Corvos (Crônicas do Gelo e Fogo #4),George R. R. Martin,Fantasia / Literatura Estrangeira ,4.4,30695,60321,3648,124662,81,779,6620,724,87
Corte de Asas e Ruína (Corte de Espinhos e Rosas #3),Sarah Janet Maas,Fantasia / Ficção / Literatura Estrangeira / Romance / Jovem adulto ,4.5,72773,125175,8298,74080,300,1634,15060,8330,88
Princesa Mecânica (As Peças Infernais #3),Cassandra Clare,Fantasia / Infantojuvenil / Literatura Estrangeira / Romance ,4.7,23396,40918,849,41908,58,219,9703,2110,89
O Lado Bom da Vida,Matthew Quick,Ficção / Literatura Estrangeira ,3.9,43734,92896,2279,115611,82,2222,6589,1863,90
A Marca de Atena (Os Heróis do Olimpo #3),Rick Riordan,Ficção científica / Infantojuvenil / Literatura Estrangeira / Suspense e Mistério ,4.5,46450,102003,3270,72725,167,756,9674,2218,91
A Dança dos Dragões (Crônicas do Gelo e Fogo #5),George R. R. Martin,Fantasia / Literatura Estrangeira ,4.7,25535,50173,3861,125220,93,697,7243,599,92
Príncipe Mecânico (As Peças Infernais #2),Cassandra Clare,Fantasia / Infantojuvenil / Literatura Estrangeira / Romance ,4.5,25122,43753,1068,35481,75,250,7002,1883,93
Convergente (Divergente  #3),Veronica Roth,Literatura Estrangeira / Distopia / Infantojuvenil / Ficção ,3.7,38509,88188,2297,40309,44,2473,5497,1607,94
Em Algum Lugar nas Estrelas,Clare Vanderpool,Fantasia / Literatura Estrangeira / Aventura / Drama / Infantojuvenil ,4.3,14532,21882,2024,41218,46,652,3860,1837,95
Mentirosos,E. Lockhart,Ficção / Infantojuvenil / Jovem adulto / Literatura Estrangeira / Romance / Suspense e Mistério ,3.9,82055,126433,6427,86819,145,2655,9404,14660,96
Crime e Castigo (A Obra-prima de cada autor,Fiódor Dostoiévski,Literatura Estrangeira / Ficção / Romance ,4.6,24067,42897,6672,56128,222,2551,6186,1572,97
O Retrato de Dorian Gray,Oscar Wilde,Ficção / LGBT / GLS / Literatura Estrangeira / Terror ,4.2,39463,77829,5398,47221,193,2297,7646,3501,98
Aristóteles e Dante descobrem os segredos do Universo (Aristóteles e Dante #1),Benjamin Alire Sáenz,Ficção / Jovem adulto / LGBT / GLS / Literatura Estrangeira / Romance ,4.3,48071,71607,3491,69047,216,1022,11649,7591,99
Espada de Vidro (A Rainha Vermelha #2),Victoria Aveyard,Fantasia / Ficção / Jovem adulto / Literatura Estrangeira ,3.8,48310,94462,8474,83348,171,3990,4243,4859,100
Um de Nós Está Mentindo #1,Karen M. McManus,Ficção / Jovem adulto / Literatura Estrangeira / Suspense e Mistério ,3.9,56414,89960,7944,104190,105,3174,3781,9654,101
O Retorno do Rei (O Senhor dos Anéis #3),J. R. R. Tolkien,Fantasia / Ficção / Literatura Estrangeira ,4.7,30333,74753,1282,65915,134,730,8670,1034,102
As Duas Torres (O Senhor dos Anéis #2),J. R. R. Tolkien,Aventura / Drama / Fantasia / Ficção / Literatura Estrangeira / Suspense e Mistério ,4.6,34226,82923,2486,65908,151,1114,8668,1256,103
A Tormenta de Espadas (Crônicas do Gelo e Fogo #3),George R. R. Martin,Literatura Estrangeira / Fantasia / Ficção ,4.8,38750,83117,4808,117728,122,1104,12690,983,104
Mil Beijos de Garoto,Tillie Cole,Ficção / Jovem adulto / Literatura Estrangeira / Romance ,3.9,55908,87487,10857,86421,180,6552,9698,11682,105
Sombra e Ossos (Trilogia Grisha #1),Leigh Bardugo,Fantasia / Ficção / Jovem adulto / Aventura ,3.8,36801,53055,3308,61981,64,1191,2432,6075,106
