titulo,autor,genero,nota,n_aval,leram,lendo,querem_ler,relendo,abandonaram,favoritos,n_resenhas,mais_lendo
Harry Potter e o Cálice de Fogo (Harry Potter #4),Joanne Kathleen Rowling,Aventura / Fantasia / Ficção / Infantojuvenil / Jovem adulto / Literatura Estrangeira / Romance ,4.6,170189,499034,11992,180471,1005,2610,39337,6496,19
Amor &amp; Gelato,Jenna Evans Welch,Ficção / Jovem adulto / Literatura Estrangeira / Romance ,4.3,87233,138745,11755,129574,306,2564,12301,15814,20
O Mundo de Sofia,Jostein Gaarder,Filosofia / Literatura Estrangeira / Romance / Ficção ,4.2,43214,129742,11384,87425,755,13052,9459,1960,21
A Revolução dos Bichos,George Orwell,Ficção / Distopia / Literatura Estrangeira ,4.4,126838,281681,11031,130402,341,2542,17272,12865,22
Harry Potter e a Câmara Secreta (Harry Potter #2),Joanne Kathleen Rowling,Aventura / Fantasia / Ficção / Literatura Estrangeira / Infantojuvenil ,4.4,213724,589354,10916,120072,1146,2322,37951,8581,23
Mil Beijos de Garoto,Tillie Cole,Ficção / Jovem adulto / Literatura Estrangeira / Romance ,3.9,55908,87484,10857,86416,180,6550,9698,11682,24
É Assim Que Começa (É Assim Que Acaba #2),Colleen Hoover,Drama / Ficção / Literatura Estrangeira / Romance ,4.6,59836,77392,10736,51513,86,171,10456,12212,25
Lady Killers: Assassinas em Série,Tori Telfer,"Biografia, Autobiografia, Memórias / Literatura Estrangeira / Não-ficção ",4.2,16790,29151,10703,74040,58,1845,1616,2902,26
A Vida Invisível de Addie LaRue,V.E. Schwab,Fantasia / Ficção / Literatura Estrangeira ,4.4,27300,33732,10535,79239,74,2067,7817,6726,27
O Morro dos Ventos Uivantes,Emily Brontë,Ficção / Romance / Literatura Estrangeira ,4.0,68066,153700,10498,114633,537,10717,14174,6635,28
Todas as Suas (Im)Perfeições,Colleen Hoover,Ficção / Jovem adulto / Literatura Estrangeira / Romance ,4.3,79524,118132,10098,117494,191,1655,12562,14378,29
A Seleção #1,Kiera Cass,Jovem adulto / Romance / Ficção ,4.3,164361,388503,9925,164521,1079,2452,33785,12315,30
O Pequeno Príncipe,Antoine de Saint-Exupéry,Infantil ,4.5,223369,728508,9928,166487,1931,3591,49256,11937,31
Harry Potter e a Ordem da Fênix (Harry Potter #5),Joanne Kathleen Rowling,Aventura / Fantasia / Ficção / Infantojuvenil / Jovem adulto / Línguas Estrangeiras / Literatura Estrangeira / Romance ,4.6,154907,459478,9794,192196,889,2176,37154,5675,32
Teto Para Dois,Beth O'Leary,"Humor, Comédia / Literatura Estrangeira / Romance ",4.3,85409,134130,9478,127805,146,3220,12231,15475,33
Sapiens,Yuval Noah Harari,História / Literatura Estrangeira ,4.6,17459,27709,9295,35977,112,1246,3438,1591,34
Harry Potter e o Prisioneiro de Azkaban (Harry Potter #3),Joanne Kathleen Rowling,Aventura / Fantasia / Literatura Estrangeira / Ficção / Infantojuvenil ,4.7,193147,543171,8820,144888,933,1761,51838,8171,35
Espada de Vidro (A Rainha Vermelha #2),Victoria Aveyard,Fantasia / Ficção / Jovem adulto / Literatura Estrangeira ,3.8,48309,94462,8474,83348,171,3990,4243,4858,36
Corte de Asas e Ruína (Corte de Espinhos e Rosas #3),Sarah Janet Maas,Fantasia / Ficção / Literatura Estrangeira / Romance / Jovem adulto ,4.5,72772,125175,8298,74080,300,1634,15060,8330,37
Como Eu Era Antes de Você #1,Jojo Moyes,Literatura Estrangeira / Romance / Ficção / Jovem adulto ,4.4,80277,203001,8145,153688,269,2861,23810,4742,38
Um de Nós Está Mentindo #1,Karen M. McManus,Ficção / Jovem adulto / Literatura Estrangeira / Suspense e Mistério ,3.9,56413,89947,7942,104187,105,3174,3781,9654,39
"Quem É Você, Alasca?",John Michael Green,Ficção / Jovem adulto / Literatura Estrangeira / Romance ,4.0,96831,237636,7940,196236,528,5168,20664,5628,40
O Poder do Hábito,Charles Duhigg,Não-ficção ,4.2,17573,30909,7833,36559,111,2003,1830,1468,41
Os Dois Morrem no Final,Adam Silvera,Jovem adulto / LGBT / GLS / Literatura Estrangeira / Romance ,4.4,35348,45745,7803,83713,74,1485,7131,8614,42
A Biblioteca da Meia-Noite,Matt Haig,Ficção / Literatura Estrangeira / Romance ,4.3,31360,38490,7766,74303,39,901,5444,7906,43
Bíblia Sagrada,Vários,Religião e Espiritualidade ,4.6,5779,10842,7728,2551,1440,871,3478,485,44
As Vantagens de Ser Invisível,Stephen Chbosky,Literatura Estrangeira / Ficção / Jovem adulto ,4.4,89473,189858,7593,190332,473,2745,26499,7899,45
O Hobbit,J.R.R. Tolkien,Fantasia / Ficção ,4.5,67515,151611,7543,93148,512,2511,17635,3284,46
Anne de Green Gables #1,Lucy Maud Montgomery,Romance / Literatura Estrangeira / Ficção ,4.2,41755,63791,7410,40990,147,3110,5652,6112,47
Corte de Névoa e Fúria (Corte de Espinhos e Rosas #2),Sarah Janet Maas,Fantasia / Ficção / Jovem adulto / Literatura Estrangeira / Romance ,4.6,89412,152210,7396,85902,583,1423,28761,11041,48
Daisy Jones &amp; The Six,Taylor Jenkins Reid,Romance / Ficção / Literatura Estrangeira / Música / Drama ,4.4,56803,68791,7150,73967,167,1279,14488,13160,49
A Fúria dos Reis (Crônicas do Gelo e Fogo #2),George R. R. Martin,Fantasia ,4.6,47958,112968,7128,104292,233,1737,10744,1114,50
O Conto da Aia,Margaret Atwood,Distopia / Ficção / Literatura Estrangeira ,4.3,38524,62109,7100,72257,83,1992,6984,4848,51
Os Miseráveis,Victor Hugo,Ficção / Literatura Estrangeira / Romance ,4.5,27216,53243,7035,61643,207,1116,7569,1740,52
A Hipótese do Amor,Ali Hazelwood,Ficção / Literatura Estrangeira / Romance / Chick-lit / Contos / Jovem adulto ,4.5,57242,72955,6930,62144,136,556,10374,10667,53
Duna (Crônicas de Duna #1),Frank Hebert,Ficção científica / Literatura Estrangeira / Ficção / Aventura / Jovem adulto ,4.5,16557,22396,6826,48435,75,1318,4305,2831,54
A Sociedade do Anel (O Senhor dos Anéis #1),J. R. R. Tolkien,Aventura / Fantasia / Ficção / Literatura Estrangeira ,4.5,45004,114159,6764,60811,378,3357,11196,2254,55
Crime e Castigo (A Obra-prima de cada autor,Série Ouro #12),Literatura Estrangeira / Ficção / Romance ,4.6,24067,42896,6672,56128,222,2551,6186,1572,56
O Menino do Pijama Listrado,John Boyne,Literatura Estrangeira / Romance / Drama / Ficção ,4.4,81341,330978,6660,302075,239,2206,13353,4178,57
Jogos Vorazes #1,Suzanne Collins,Distopia ,4.6,127261,324124,6652,181058,488,1792,33935,7501,58
Por Lugares Incríveis,Jennifer Niven,Infantojuvenil / Drama / Literatura Estrangeira / Romance ,4.4,47653,84272,6448,132578,230,1804,13970,6517,59
Mentirosos,E. Lockhart,Ficção / Infantojuvenil / Jovem adulto / Literatura Estrangeira / Romance / Suspense e Mistério ,3.9,82054,126433,6427,86819,145,2655,9404,14660,60
Cidade dos Ossos (Os Instrumentos Mortais #1),Cassandra Clare,Aventura / Fantasia / Ficção / LGBT / GLS / Literatura Estrangeira / Romance / Jovem adulto ,4.1,68444,169719,6358,134695,460,3666,12640,4169,61
Estilhaça-me #1,Tahereh Mafi,Distopia / Ficção / Literatura Estrangeira / Romance / Suspense e Mistério ,4.0,61075,95433,6327,77029,252,1956,5898,8271,62
Dom Casmurro (Série Bom Livro),Machado de Assis,Ficção / Literatura Brasileira / Romance ,4.2,95661,285426,6287,33955,677,5200,13127,4207,63
Trono de Vidro #1,Sarah J. Maas,Fantasia / Ficção / Jovem adulto / Literatura Estrangeira ,4.3,63154,105836,6286,101383,392,1298,10833,7300,64
A Cabana,William P. Young,Ficção / Literatura Estrangeira / Drama ,3.9,92078,333003,6183,101249,436,16231,12765,3737,65
O Lado Feio do Amor,Colleen Hoover,Ficção / Jovem adulto / Literatura Estrangeira / Romance ,4.1,70736,112781,5956,117010,170,1047,9922,11017,66
Extraordinário,R. J. Palacio,Ficção / Infantojuvenil / Literatura Estrangeira ,4.5,92980,208344,5868,84584,270,2022,25855,5782,67
O Rei Perverso (O Povo do Ar #2),Holly Black,Fantasia / Ficção / Literatura Estrangeira / Romance ,4.5,75655,105819,5847,45862,144,749,13670,10719,68
"Novembro, 9",Colleen Hoover,Literatura Estrangeira / Romance ,4.1,58799,91678,5800,106928,100,1096,7465,10161,69
Crepúsculo #1,Stephenie Meyer,Romance / Literatura Estrangeira / Ficção / Fantasia ,3.8,131936,413557,5778,35841,948,6796,17164,5536,70
A Elite (A Seleção #2),Kiera Cass,Ficção / Infantojuvenil / Literatura Estrangeira / Romance ,4.0,138238,323593,5758,112441,416,1615,20413,7835,71
A Sutil Arte de Ligar o F*da-se,Manson Mark,Literatura Estrangeira / Não-ficção ,3.7,28021,42239,5738,22799,113,3139,1906,2287,72
A Garota do Lago,Charlie Donlea,Ficção / Suspense e Mistério ,3.9,51182,62710,5519,27023,53,2559,3007,9226,73
O Retrato de Dorian Gray,Oscar Wilde,Ficção / LGBT / GLS / Literatura Estrangeira / Terror ,4.2,39463,77827,5399,47220,193,2297,7646,3501,74
Drácula,Bram Stoker,Ficção / Horror / Literatura Estrangeira / Suspense e Mistério / Terror ,4.2,29684,50634,5232,39028,152,1874,5250,2739,75
Cidades de Papel,John Michael Green,Literatura Estrangeira ,3.6,72383,183429,5199,145506,215,4918,8797,2974,76
Admirável mundo novo,Aldous Huxley,Distopia / Ficção científica / Literatura Estrangeira / Romance ,4.3,44192,71213,5170,58150,222,2190,7792,3252,77
Flores para Algernon,Daniel Keyes,Literatura Estrangeira / Romance / Drama / Ficção científica ,4.5,41372,50913,5140,49212,44,950,10399,9564,78
Verity,Colleen Hoover,Ficção / Literatura Estrangeira / Romance / Suspense e Mistério ,4.5,80338,105949,5055,70073,89,392,11861,17691,79
O Homem de Giz,C.J. Tudor,Ficção / Literatura Estrangeira / Suspense e Mistério ,3.7,42155,66089,5025,64066,86,2266,2474,5677,80
O Mar de Monstros (Percy Jackson e os Olimpianos #2),Rick Riordan,Fantasia / Literatura Estrangeira / Aventura / Infantojuvenil ,4.2,136288,338904,4997,51787,504,1369,15454,6383,81
O Iluminado,Stephen  King,Ficção / Horror / Literatura Estrangeira / Suspense e Mistério ,4.4,35938,58993,4876,56526,136,1548,7857,3350,82
A Tormenta de Espadas (Crônicas do Gelo e Fogo #3),George R. R. Martin,Literatura Estrangeira / Fantasia / Ficção ,4.8,38750,83117,4808,117728,122,1104,12690,983,83
Mulherzinhas,Louisa May Alcott,Literatura Estrangeira / Ficção / Romance ,4.2,12208,19388,4754,57526,44,1278,2666,2142,84
Cem anos de solidão,Gabriel García Márquez,Ficção / Literatura Estrangeira / Romance ,4.6,30053,54470,4669,53265,302,2368,10888,2062,85
Harry Potter e o Enigma do Príncipe (Harry Potter #6),Joanne Kathleen Rowling,Aventura / Fantasia / Ficção / Infantojuvenil / Jovem adulto / Literatura Estrangeira / Romance ,4.7,152304,451068,4637,196067,682,1134,39353,5391,86
Depois de você (Como eu era antes de você #2),Jojo Moyes,Literatura Estrangeira / Romance / Ficção ,3.8,32968,79699,4625,77678,88,2893,4184,1896,87
O Teorema Katherine,John Michael Green,Ficção ,3.4,51723,123212,4571,142499,101,8573,5135,2092,88
O Orfanato da Srta. Peregrine Para Crianças Peculiares #1,Ransom Riggs,Aventura / Fantasia / Ficção / Literatura Estrangeira ,4.0,43029,89978,4562,57057,156,2772,5763,2306,89
O Guia do Mochileiro das Galáxias #1,Douglas Adams,Ficção científica / Fantasia / Literatura Estrangeira ,4.3,53509,117580,4556,44027,353,2686,9702,2167,90
Eu e Esse Meu Coração,C.C. Hunter,Ficção / Jovem adulto / Literatura Estrangeira / Romance / Suspense e Mistério ,4.3,23987,28691,4533,33821,58,806,3597,4320,91
O Código Da Vinci (Robert Langdon #2),Dan Brown,Ficção / Literatura Estrangeira / Suspense e Mistério ,4.2,90194,312545,4478,104669,208,5379,10754,2115,92
A Prisão do Rei (A Rainha Vermelha #3),Victoria Aveyard,Fantasia / Jovem adulto / Literatura Estrangeira / Ficção ,4.0,35797,68273,4426,62729,88,1793,4045,3454,93
Harry Potter e as Relíquias da Morte (Harry Potter #7),Joanne Kathleen Rowling,Aventura / Fantasia / Ficção / Infantojuvenil / Jovem adulto / Literatura Estrangeira / Romance ,4.7,147317,435865,4400,189691,855,1294,42111,5468,94
Memórias Póstumas de Brás Cubas (Obra-Prima de Cada Autor #18),Machado de Assis,Ficção / Literatura Brasileira / Romance ,4.1,57319,151301,4393,29563,301,3963,6847,2588,95
O Duque e Eu (Os Bridgertons #1),Julia Quinn,Ficção / Literatura Estrangeira / Romance ,3.8,72956,122145,4336,36436,209,1451,8064,8471,96
A Batalha do Apocalipse,Eduardo Spohr,Fantasia / Literatura Brasileira ,4.3,25791,45034,4308,64713,211,4024,6778,1165,97
Coraline,Neil Gaiman,Fantasia / Ficção / Infantojuvenil / Literatura Estrangeira / Suspense e Mistério / Terror / Aventura / Horror ,4.4,54600,88217,4284,79969,236,619,9116,7066,98
Em Chamas (Jogos Vorazes #2),Suzanne Collins,Distopia ,4.6,106221,269883,4170,134861,309,1062,29743,4898,99
Sol da Meia-Noite (Crepúsculo #5),Stephenie Meyer,Fantasia / Ficção / Literatura Estrangeira / Romance ,4.2,15816,20913,4166,15374,93,1065,2668,2960,100
Cinquenta Tons de Cinza #1,E. L. James,Erótico / Literatura Estrangeira / Romance / Ficção ,3.6,62156,224106,4059,22034,363,6421,9218,2362,101
Fahrenheit 451,Ray Bradbury,Distopia / Ficção científica / Literatura Estrangeira ,4.1,41644,66929,4047,64713,68,1149,6035,5252,102
O Herói Perdido (Os Heróis do Olimpo #1),Rick Riordan,Ficção / Fantasia / Literatura Estrangeira / Aventura / Infantojuvenil ,4.2,66470,172622,4049,52235,273,1242,8100,3248,103
Para Todos os Garotos que Já Amei #1,Jenny Han,Ficção / Literatura Estrangeira / Romance ,4.2,57681,142549,4043,98576,246,1360,9360,3768,104
O Sol é Para Todos,Harper Lee,Ficção / Literatura Estrangeira ,4.6,28023,49002,3990,128611,75,771,8820,3253,105
A Esperança (Jogos Vorazes #3),Suzanne Collins,Aventura ,4.4,96468,244917,3976,143300,267,1425,21865,4722,106
