titulo,autor,genero,nota,n_aval,leram,lendo,querem_ler,relendo,abandonaram,favoritos,n_resenhas
A Sociedade do Anel (O Senhor dos Anéis #1),J. R. R. Tolkien,Aventura / Fantasia / Ficção / Literatura Estrangeira ,4.5,45008,114159,6765,60813,378,3357,11196,2255
Fallen #1,Lauren Kate,Romance / Suspense e Mistério ,3.7,52382,162421,2533,35866,343,3237,7269,1939
Sob a redoma,Stephen King,Ficção / Literatura Estrangeira / Suspense e Mistério ,4.4,9420,15438,2423,44739,20,950,2546,949
Mulherzinhas,Louisa May Alcott,Literatura Estrangeira / Ficção / Romance ,4.2,12214,19395,4753,57536,44,1278,2668,2142
Fahrenheit 451,Ray Bradbury,Distopia / Ficção científica / Literatura Estrangeira ,4.1,41649,66931,4054,64715,68,1149,6035,5253
Lolita,Vladimir Nabokov,Literatura Estrangeira ,4.0,17650,33114,3501,33574,135,3502,3250,1447
Um de Nós Está Mentindo #1,Karen M. McManus,Ficção / Jovem adulto / Literatura Estrangeira / Suspense e Mistério ,3.9,56430,89977,7945,104204,105,3173,3781,9658
Água para Elefantes,Sara Gruen,Ficção / Literatura Estrangeira / Romance ,4.0,22182,40189,1222,54893,55,1964,3232,987
A Esperança (Jogos Vorazes #3),Suzanne Collins,Aventura ,4.4,96476,244932,3977,143315,267,1426,21866,4726
"Os Contos de Beedle, O Bardo (Harry Potter)",Joanne Kathleen Rowling,Contos / Fantasia / Ficção / Infantojuvenil / Literatura Estrangeira ,4.2,50780,132981,1063,54211,81,387,6995,1874
A Estreia de Fani (Fazendo Meu Filme #1),Paula Pimenta,Literatura Brasileira / Romance ,4.3,43360,86939,1585,27879,361,804,8904,3079
A Sombra do Vento (O Cemitério dos Livros Esquecidos #01),Carlos Ruiz Zafón ,Literatura Estrangeira / Romance / Suspense e Mistério / Aventura / Fantasia / Ficção / Infantojuvenil ,4.6,24542,41927,2201,68802,161,1211,9010,1829
Cidade das Cinzas (Os Instrumentos Mortais #2),Cassandra Clare,Romance / Aventura / Ficção / Infantojuvenil / LGBT / GLS / Literatura Estrangeira ,4.1,49058,101176,2662,107789,162,1207,8021,2297
A Guerra dos Tronos (Crônicas do Gelo e Fogo #1),George R. R. Martin,Fantasia / Aventura / Ficção / Jovem adulto / Literatura Estrangeira ,4.7,72364,171578,18526,118302,700,6238,19789,2575
Teto Para Dois,Beth O'Leary,"Humor, Comédia / Literatura Estrangeira / Romance ",4.3,85422,134154,9475,127850,146,3220,12232,15480
A Metamorfose (Clássicos Universais),Franz Kafka,Ficção / Literatura Estrangeira / Romance ,4.1,61184,111798,3084,26114,151,1099,6458,5248
Depois de você (Como eu era antes de você #2),Jojo Moyes,Literatura Estrangeira / Romance / Ficção ,3.8,32971,79778,4628,77699,88,2893,4184,1896
As Vantagens de Ser Invisível,Stephen Chbosky,Literatura Estrangeira / Ficção / Jovem adulto ,4.4,89491,189900,7593,190370,473,2745,26502,7901
O Monge e O Executivo,James C. Hunter,Administração / Autoajuda / Ficção / Literatura Estrangeira / Negócios e Empreendedorismo ,3.8,30239,105310,1847,9237,189,2112,2236,1084
Para Todos os Garotos que Já Amei #1,Jenny Han,Ficção / Literatura Estrangeira / Romance ,4.2,57693,142647,4045,98583,246,1360,9360,3768
Sol da Meia-Noite (Crepúsculo #5),Stephenie Meyer,Fantasia / Ficção / Literatura Estrangeira / Romance ,4.2,15823,20913,4166,15379,93,1065,2668,2960
A Cabana,William P. Young,Ficção / Literatura Estrangeira / Drama ,3.9,92082,333046,6183,101249,436,16231,12765,3737
"Quem É Você, Alasca?",John Michael Green,Ficção / Jovem adulto / Literatura Estrangeira / Romance ,4.0,96846,237684,7940,196260,527,5168,20664,5629
Verity,Colleen Hoover,Ficção / Literatura Estrangeira / Romance / Suspense e Mistério ,4.5,80401,106029,5052,70130,89,392,11863,17703
Harry Potter e a Ordem da Fênix (Harry Potter #5),Joanne Kathleen Rowling,Aventura / Fantasia / Ficção / Infantojuvenil / Jovem adulto / Línguas Estrangeiras / Literatura Estrangeira / Romance ,4.6,154922,459522,9796,192227,888,2176,37156,5675
Incendeia-me (Estilhaça-me #3),Tahereh Mafi,Distopia / Ficção / Literatura Estrangeira / Romance / Suspense e Mistério ,4.6,35347,54097,1163,32148,77,201,9005,4751
Jogos Vorazes #1,Suzanne Collins,Distopia ,4.6,127272,324163,6649,181087,488,1792,33935,7502
O Teorema Katherine,John Michael Green,Ficção ,3.4,51731,123254,4571,142511,101,8575,5135,2092
A Coroa (A Seleção #5),Kiera Cass,Distopia / Ficção / Literatura Estrangeira / Romance / Infantojuvenil ,3.2,50213,124946,2233,62221,79,2936,3302,2964
O Caçador de Pipas,Khaled Hosseini,Drama / Literatura Estrangeira / Romance / Ficção ,4.4,68891,225993,2519,78181,185,4313,13020,2139
A Menina Que Não Sabia Ler #1,John Harding,Ficção / Literatura Estrangeira / Romance ,3.6,21331,39657,1555,97829,60,1612,2323,1333
Flores para Algernon,Daniel Keyes,Literatura Estrangeira / Romance / Drama / Ficção científica ,4.5,41376,50913,5146,49215,44,950,10401,9565
A Biblioteca da Meia-Noite,Matt Haig,Ficção / Literatura Estrangeira / Romance ,4.3,31379,38533,7779,74416,38,899,5448,7915
Madame Bovary (A Obra-prima de cada autor,Gustave Flaubert,Ficção / Literatura Estrangeira / Romance ,3.9,13092,25528,2363,21086,81,2005,1538,775
Iracema,José Martiniano de Alencar,Literatura Brasileira / Romance ,3.1,30372,120567,792,8293,65,2604,655,1020
Tormenta (Fallen #2),Lauren Kate,Fantasia / Ficção / Literatura Estrangeira / Romance ,3.8,31545,69187,1728,72848,94,1935,4403,808
Extraordinário,R. J. Palacio,Ficção / Infantojuvenil / Literatura Estrangeira ,4.5,92990,208390,5868,84605,270,2022,25852,5782
Laranja Mecânica,Anthony Burgess,Distopia / Ficção / Literatura Estrangeira ,4.4,24581,42605,2493,96770,96,1617,6393,1784
Harry Potter e a Pedra Filosofal (Harry Potter #1),Joanne Kathleen Rowling,Aventura / Fantasia / Literatura Estrangeira / Ficção / Infantojuvenil ,4.5,262013,695100,17631,150179,2506,4017,51628,13616
"Vermelho, Branco e Sangue Azul",Casey McQuiston,"Humor, Comédia / LGBT / GLS / Romance ",4.4,85189,130793,20206,113846,814,6048,18516,14295
Lua Nova (Crepúsculo #2),Stephenie Meyer,Fantasia / Ficção / Literatura Estrangeira / Romance ,3.6,108444,340921,2470,21444,373,3445,10754,2775
A Última Música,Nicholas Sparks,Drama / Literatura Estrangeira / Romance / Ficção ,4.2,46767,170992,1752,75173,145,1885,8602,1429
A Prisão do Rei (A Rainha Vermelha #3),Victoria Aveyard,Fantasia / Jovem adulto / Literatura Estrangeira / Ficção ,4.0,35800,68295,4423,62746,88,1793,4045,3454
A Fúria dos Reis (Crônicas do Gelo e Fogo #2),George R. R. Martin,Fantasia ,4.6,47958,112968,7128,104295,233,1738,10744,1114
Em Algum Lugar nas Estrelas,Clare Vanderpool,Fantasia / Literatura Estrangeira / Aventura / Drama / Infantojuvenil ,4.3,14533,21882,2024,41218,46,652,3861,1837
Os Dois Morrem no Final,Adam Silvera,Jovem adulto / LGBT / GLS / Literatura Estrangeira / Romance ,4.4,35371,45776,7805,83781,75,1492,7133,8621
O Guardião de Memórias,Kim Edwards,Drama / Literatura Estrangeira ,3.6,11849,22033,857,7360,17,2008,1030,511
Os Miseráveis,Victor Hugo,Ficção / Literatura Estrangeira / Romance ,4.5,27220,53247,7038,61655,207,1116,7570,1740
Marley &amp; Eu,John Grogan,Animais de Estimação / Drama / Ficção / Literatura Estrangeira / Romance ,4.3,53929,207448,1563,58722,143,3775,10103,1625
Anjos e Demônios (Robert Langdon #1),Dan Brown,Literatura Estrangeira / Aventura / Suspense e Mistério / História / Ficção / Línguas Estrangeiras / Religião e Espiritualidade / Romance policial ,4.3,70130,230657,2965,76306,141,2981,10396,1592
O Último Olimpiano (Percy Jackson e os Olimpianos #5),Rick Riordan,Fantasia / Infantojuvenil ,4.6,106397,268125,2535,82548,308,571,22547,5069
Amanhecer (Crepúsculo #4),Stephenie Meyer,Ficção / Literatura Estrangeira / Romance / Suspense e Mistério ,3.9,96679,321071,2337,30111,514,3705,13422,2050
Por Lugares Incríveis,Jennifer Niven,Infantojuvenil / Drama / Literatura Estrangeira / Romance ,4.4,47657,84287,6458,132631,230,1811,13973,6517
O Retrato de Dorian Gray,Oscar Wilde,Ficção / LGBT / GLS / Literatura Estrangeira / Terror ,4.2,39468,77836,5396,47225,193,2301,7646,3503
O Lado Bom da Vida,Matthew Quick,Ficção / Literatura Estrangeira ,3.9,43735,92896,2279,115614,82,2222,6589,1863
Amor &amp; Gelato,Jenna Evans Welch,Ficção / Jovem adulto / Literatura Estrangeira / Romance ,4.3,87272,138802,11760,129621,306,2564,12303,15817
A Casa de Hades (Os Heróis do Olimpo #4),Rick Riordan,Aventura / Fantasia / Infantojuvenil / Literatura Estrangeira ,4.6,40623,85803,2455,32203,128,500,10041,2031
O Cortiço,Aluísio Azevedo,Literatura Brasileira / Ficção ,3.7,51103,162047,2884,18291,216,4350,3078,1781
Fortaleza Digital,Dan Brown,Aventura / Ficção / Literatura Estrangeira / Romance policial ,3.9,42701,128822,1311,34414,70,2240,3770,1045
Cidade dos Anjos Caídos (Os Instrumentos Mortais #4),Cassandra Clare,Fantasia / Infantojuvenil / Ficção / Romance / Aventura / LGBT / GLS / Literatura Estrangeira ,4.1,32987,72468,1618,112561,105,595,5750,1387
Heartstopper #2,Alice Oseman,"Ficção / HQ, comics, mangá / Jovem adulto / LGBT / GLS / Literatura Estrangeira / Romance ",4.7,68375,89994,1011,20800,106,55,9611,9169
Os 13 Porquês,Jay Asher,Drama / Ficção / Literatura Estrangeira / Suspense e Mistério / Jovem adulto ,3.9,29577,62539,2138,70649,92,1289,5572,1518
Belo Desastre #1,Jamie Mcguire,Jovem adulto / Literatura Estrangeira / Romance ,3.9,38790,75019,1045,21623,187,1267,10008,1993
Um Homem de Sorte,Nicholas Sparks,Ficção / Literatura Estrangeira / Romance ,4.1,20426,44714,1099,72084,45,801,3166,708
O Filho de Netuno (Os Heróis do Olimpo #2),Rick Riordan,Aventura / Jovem adulto ,4.3,55220,119555,2843,68361,178,681,8110,2438
O Silmarillion,O Silmarillion,Fantasia / Ficção / Literatura Estrangeira ,4.5,19037,32860,3830,33048,270,2583,5694,971
Convergente (Divergente  #3),Veronica Roth,Literatura Estrangeira / Distopia / Infantojuvenil / Ficção ,3.7,38515,88201,2296,40310,44,2473,5497,1608
A Maldição do Titã (Percy Jackson &amp; Os Olimpianos #03),Rick Riordan,Fantasia / Literatura Estrangeira ,4.5,122678,306996,3906,75045,405,903,20574,5574
Lady Killers: Assassinas em Série,Tori Telfer,"Biografia, Autobiografia, Memórias / Literatura Estrangeira / Não-ficção ",4.2,16792,29167,10710,74075,58,1845,1617,2902
A Culpa é das Estrelas,John Michael Green,Literatura Estrangeira / Romance ,4.2,181987,590753,12214,255612,1096,5934,37076,8899
Admirável mundo novo,Aldous Huxley,Distopia / Ficção científica / Literatura Estrangeira / Romance ,4.3,44202,71244,5168,58159,222,2193,7791,3253
A Rainha Vermelha #1,Victoria Aveyard,Ficção / Literatura Estrangeira / Fantasia / Jovem adulto / Distopia ,4.2,93235,184701,14499,206393,638,5067,16388,10233
O Morro dos Ventos Uivantes,Emily Brontë,Ficção / Romance / Literatura Estrangeira ,4.0,68070,153710,10504,114646,537,10718,14174,6635
Mentirosos,E. Lockhart,Ficção / Infantojuvenil / Jovem adulto / Literatura Estrangeira / Romance / Suspense e Mistério ,3.9,82072,126474,6427,86843,145,2655,9404,14663
Como Eu Era Antes de Você #1,Jojo Moyes,Literatura Estrangeira / Romance / Ficção / Jovem adulto ,4.4,80286,203046,8148,153706,268,2861,23810,4742
P.S.: Ainda Amo Você (Para Todos os Garotos que Já Amei #2),Jenny Han,Ficção / Jovem adulto / Literatura Estrangeira / Romance ,4.0,43828,99860,2302,53665,104,1052,5177,2469
O Conto da Aia,Margaret Atwood,Distopia / Ficção / Literatura Estrangeira ,4.3,38530,62109,7097,72259,83,1992,6986,4849
A Rainha do Nada (O Povo do Ar #3),Holly Black,Fantasia / Ficção / Jovem adulto / Literatura Estrangeira / Romance ,4.6,64158,84412,2453,33706,100,248,12964,9813
Garota Exemplar,Gillian Flynn,Suspense e Mistério / Literatura Estrangeira / Romance policial ,4.3,30164,54518,3512,92789,45,2133,6840,2532
Harry Potter e o Enigma do Príncipe (Harry Potter #6),Joanne Kathleen Rowling,Aventura / Fantasia / Ficção / Infantojuvenil / Jovem adulto / Literatura Estrangeira / Romance ,4.7,152311,451078,4643,196082,682,1133,39354,5391
Os sete maridos de Evelyn Hugo,Taylor Jenkins Reid,Ficção / LGBT / GLS / Literatura Estrangeira / Romance ,4.7,137619,191132,20260,174403,524,2117,44866,29991
A Escolha (A Seleção #3),Kiera Cass,Ficção / Literatura Estrangeira / Romance ,4.4,129593,301849,3732,119048,352,876,29329,8115
Orgulho e preconceito,Jane Austen,Ficção / Literatura Estrangeira / Romance ,4.5,83028,136938,13783,98832,759,6657,27173,7671
Um Sonho de Primavera (Crônicas do Gelo e Fogo #7),George R. R. Martin,Fantasia / Literatura Estrangeira ,4.4,237,3288,81,77226,6,52,240,4
O Diário de Anne Frank,Anne Frank,"Literatura Estrangeira / Biografia, Autobiografia, Memórias / Drama / Não-ficção ",4.5,111695,315386,21305,253896,694,8793,19696,8127
Melancia (As Irmãs Walsh #1),Marian Keyes,Literatura Estrangeira / Ficção / Romance ,3.7,23841,63902,1236,11840,65,3402,2516,1141
A Menina que Roubava Livros,Markus Zusak,Drama / Ficção / Literatura Estrangeira / Romance / História ,4.5,135632,413413,16149,313709,1061,20560,42433,5571
Sapiens,Yuval Noah Harari,História / Literatura Estrangeira ,4.6,17460,27715,9295,35980,112,1245,3438,1591
A Tormenta de Espadas (Crônicas do Gelo e Fogo #3),George R. R. Martin,Literatura Estrangeira / Fantasia / Ficção ,4.8,38752,83117,4808,117728,122,1104,12690,983
Paixão (Fallen #3),Lauren Kate,Fantasia / Ficção / Literatura Estrangeira / Romance ,3.8,24921,55344,1054,72521,56,1054,3585,620
Príncipe Mecânico (As Peças Infernais #2),Cassandra Clare,Fantasia / Infantojuvenil / Literatura Estrangeira / Romance ,4.5,25127,43753,1068,35487,75,250,7002,1884
O Festim dos Corvos (Crônicas do Gelo e Fogo #4),George R. R. Martin,Fantasia / Literatura Estrangeira ,4.4,30695,60321,3648,124664,81,779,6620,724
Rainha das Sombras (Trono de Vidro #4),Sarah Janet Maas,Fantasia / Literatura Estrangeira / Romance ,4.7,34601,57211,1752,39006,118,229,9391,4048
Assassinato No Expresso do Oriente,Agatha Christie,Romance policial / Crime / Suspense e Mistério ,4.3,61316,112581,3102,37937,76,1326,6909,5153
Memórias Póstumas de Brás Cubas (Obra-Prima de Cada Autor #18),Machado de Assis,Ficção / Literatura Brasileira / Romance ,4.1,57326,151337,4394,29573,303,3963,6847,2588
P.S. Eu Te Amo (P.S. Te Amo #1),Cecelia Ahern,Ficção / Literatura Estrangeira / Romance ,4.2,14908,36960,1468,107603,70,1114,3136,924
A Droga da Obediência (Os Karas #1),Pedro Bandeira de Luna Filho,Aventura / Ficção / Literatura Brasileira / Romance ,4.0,38046,109418,545,4621,115,402,3204,987
1984,George Orwell,Distopia / Ficção científica ,4.5,80178,152403,20275,162825,430,4572,16980,8274
A Herdeira (A Seleção #4),Kiera Cass,Ficção / Literatura Estrangeira / Romance / Distopia / Infantojuvenil ,3.4,67071,158837,3751,64966,165,4366,6512,3423
Bíblia Sagrada,Vários,Religião e Espiritualidade ,4.6,5780,10853,7730,2551,1442,871,3478,487
O Nome do Vento (A Crônica do Matador do Rei #1),Patrick Rothfuss,Fantasia / Ficção / Literatura Estrangeira ,4.7,20889,31922,3938,40643,223,881,9037,1436
Duna (Crônicas de Duna #1),Frank Hebert,Ficção científica / Literatura Estrangeira / Ficção / Aventura / Jovem adulto ,4.5,16559,22396,6831,48435,75,1318,4305,2832
O Rei Perverso (O Povo do Ar #2),Holly Black,Fantasia / Ficção / Literatura Estrangeira / Romance ,4.5,75686,105871,5850,45890,144,753,13674,10723
O Mundo de Sofia,Jostein Gaarder,Filosofia / Literatura Estrangeira / Romance / Ficção ,4.2,43219,129754,11388,87430,755,13052,9461,1960
1808,Laurentino Gomes,História / História do Brasil / História Geral ,4.1,18253,35688,3176,69358,83,2607,1554,869
Princesa Mecânica (As Peças Infernais #3),Cassandra Clare,Fantasia / Infantojuvenil / Literatura Estrangeira / Romance ,4.7,23399,40918,849,41912,58,219,9704,2110
O Homem de Giz,C.J. Tudor,Ficção / Literatura Estrangeira / Suspense e Mistério ,3.7,42170,66120,5026,64075,87,2266,2475,5681
Cinquenta Tons Mais Escuros (Cinquenta Tons de Cinza #2),E. L. James,Erótico / Romance / Literatura Estrangeira / Ficção ,3.9,46184,166212,2379,18511,240,1868,7839,985
Anne de Green Gables #1,Lucy Maud Montgomery,Romance / Literatura Estrangeira / Ficção ,4.2,41774,63825,7409,41004,147,3113,5652,6112
A Vida Invisível de Addie LaRue,V.E. Schwab,Fantasia / Ficção / Literatura Estrangeira ,4.4,27309,33737,10547,79290,74,2067,7818,6729
Anjo Mecânico (As Peças Infernais #1),Cassandra Clare,Fantasia / Infantojuvenil / Literatura Estrangeira / Ficção / Romance ,4.4,31047,53621,1977,45851,138,630,7634,2530
A Cidade do Sol,Khaled Hosseini,Ficção / Romance / Drama / Literatura Estrangeira ,4.5,36010,89711,1265,36876,102,1296,9423,1626
Alice No País das Maravilhas,Lewis Carroll,Infantil / Fantasia / Ficção / Infantojuvenil ,4.1,42421,113201,3313,40382,195,1053,5577,3181
Mulheres que Correm com os Lobos,Clarissa Pinkola Estés,Literatura Estrangeira / Psicologia / Não-ficção ,4.3,5675,11730,12555,53689,210,2356,1819,786
As Duas Torres (O Senhor dos Anéis #2),J. R. R. Tolkien,Aventura / Drama / Fantasia / Ficção / Literatura Estrangeira / Suspense e Mistério ,4.6,34229,82926,2486,65925,151,1114,8669,1256
A Garota do Lago,Charlie Donlea,Ficção / Suspense e Mistério ,3.9,51202,62710,5528,27028,53,2559,3007,9226
É Assim Que Começa (É Assim Que Acaba #2),Colleen Hoover,Drama / Ficção / Literatura Estrangeira / Romance ,4.6,59918,77505,10734,51566,87,173,10465,12226
A Hipótese do Amor,Ali Hazelwood,Ficção / Literatura Estrangeira / Romance / Chick-lit / Contos / Jovem adulto ,4.5,57310,73044,6937,62234,135,556,10382,10674
A Lista do Ódio,Jennifer Brown,Drama / Ficção / Jovem adulto / Literatura Estrangeira / Romance ,4.1,14669,24490,1103,48895,14,717,3226,1019
O Pequeno Príncipe,Antoine de Saint-Exupéry,Infantil ,4.5,223417,728628,9930,166512,1934,3591,49260,11939
Senhora,José Martiniano de Alencar,Romance / Literatura Brasileira / Ficção ,3.8,27617,65658,1287,10171,94,2184,2836,1062
O Duque e Eu (Os Bridgertons #1),Julia Quinn,Ficção / Literatura Estrangeira / Romance ,3.8,72965,122229,4338,36440,209,1451,8064,8472
O Poder do Hábito,Charles Duhigg,Não-ficção ,4.2,17578,30916,7830,36559,111,2003,1830,1469
Eu e Esse Meu Coração,C.C. Hunter,Ficção / Jovem adulto / Literatura Estrangeira / Romance / Suspense e Mistério ,4.3,24003,28734,4540,33847,58,806,3596,4322
Eclipse  (Crepúsculo #3),Stephenie Meyer,Fantasia / Literatura Estrangeira / Autoajuda / Chick-lit / Ficção / Romance ,3.8,102384,328768,2027,23083,405,2867,11705,2086
Divergente (Divergente  #1),Veronica Roth,Literatura Estrangeira / Ficção / Distopia / Infantojuvenil / Jovem adulto ,4.3,65412,141881,3228,55359,224,1486,13805,2861
Todas as Suas (Im)Perfeições,Colleen Hoover,Ficção / Jovem adulto / Literatura Estrangeira / Romance ,4.3,79562,118181,10111,117576,191,1655,12567,14383
It: A Coisa,Stephen King,Literatura Estrangeira / Ficção / Terror ,4.5,28202,53432,14875,140495,238,3324,10561,3303
O Iluminado,Stephen  King,Ficção / Horror / Literatura Estrangeira / Suspense e Mistério ,4.4,35942,59015,4876,56538,136,1549,7857,3351
Perdida #1,Carina Rissi,Ficção / Literatura Brasileira / Romance ,4.5,43977,81658,2253,71648,248,977,15038,3550
Vidas Secas,Graciliano Ramos,Romance ,4.0,45602,107246,1629,14896,150,1890,4293,1848
Corte de Névoa e Fúria (Corte de Espinhos e Rosas #2),Sarah Janet Maas,Fantasia / Ficção / Jovem adulto / Literatura Estrangeira / Romance ,4.6,89430,152264,7401,85919,583,1423,28761,11043
Cidades de Papel,John Michael Green,Literatura Estrangeira ,3.6,72388,183460,5202,145515,215,4918,8799,2974
Coraline,Neil Gaiman,Fantasia / Ficção / Infantojuvenil / Literatura Estrangeira / Suspense e Mistério / Terror / Aventura / Horror ,4.4,54621,88267,4285,79990,236,619,9117,7068
Ponto de Impacto,Dan Brown,Ficção / Literatura Estrangeira / Suspense e Mistério / Ficção científica ,4.0,33777,100501,1321,35811,37,1928,3447,871
O apanhador no campo de centeio,O apanhador no campo de centeio,Literatura Estrangeira / Ficção / Romance ,4.0,24039,43518,1830,34170,142,1087,4752,1778
A Marca de Atena (Os Heróis do Olimpo #3),Rick Riordan,Ficção científica / Infantojuvenil / Literatura Estrangeira / Suspense e Mistério ,4.5,46455,102040,3268,72737,167,758,9675,2218
Em Chamas (Jogos Vorazes #2),Suzanne Collins,Distopia ,4.6,106228,269938,4172,134880,309,1062,29744,4901
O conde de Monte Cristo,Alexandre Dumas,Ficção / Literatura Estrangeira / Romance ,4.5,12585,22842,2914,31111,89,494,3643,1128
O Acordo (Amores Improváveis #1),Elle Kennedy,Literatura Estrangeira / Romance ,4.3,67238,110135,2842,40229,347,672,10249,7979
A Seleção #1,Kiera Cass,Jovem adulto / Romance / Ficção ,4.3,164402,388615,9929,164563,1079,2454,33788,12317
Drácula,Bram Stoker,Ficção / Horror / Literatura Estrangeira / Suspense e Mistério / Terror ,4.2,29688,50655,5234,39040,152,1874,5250,2739
Cidade de Vidro (Os Instrumentos Mortais #3),Cassandra Clare,Fantasia / Ficção / Jovem adulto / Literatura Estrangeira ,4.4,42914,90251,1783,111534,119,685,10796,2019
A Dança dos Dragões (Crônicas do Gelo e Fogo #5),George R. R. Martin,Fantasia / Literatura Estrangeira ,4.7,25535,50173,3861,125220,93,697,7244,599
Capitães da Areia,Jorge Amado,Ficção / Literatura Brasileira / Romance ,4.3,54062,146243,2886,23718,208,2109,10793,2862
As Crônicas de Nárnia,Clive Staples Lewis ,Aventura / Crônicas / Fantasia / Ficção / Infantojuvenil / Literatura Estrangeira / Infantil ,4.5,65606,207463,24107,198233,825,10247,20172,2926
O Lado Feio do Amor,Colleen Hoover,Ficção / Jovem adulto / Literatura Estrangeira / Romance ,4.1,70760,112841,5947,117062,171,1047,9924,11022
Memórias de um Sargento de Milícias (Bom Livro),Manuel Antônio de Almeida,Romance / Literatura Brasileira / Ficção ,3.4,26568,100472,887,8446,60,2114,889,687
O Guia do Mochileiro das Galáxias #1,Douglas Adams,Ficção científica / Fantasia / Literatura Estrangeira ,4.3,53510,117580,4556,44031,353,2686,9703,2167
A Hospedeira,Stephenie Meyer,Ficção científica / Literatura Estrangeira ,4.2,38727,105136,2344,51056,209,8209,9751,1780
